Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Grey Towers 2022,2022-06-18,The Brown,LLLeeds,3,10,mixed
Grey Towers 2022,2022-06-18,YCU,Black Sheep,9,2,mixed
Grey Towers 2022,2022-06-18,Nemesis,Glasgow,5,6,mixed
Grey Towers 2022,2022-06-18,Nemesis,YCU,2,8,mixed
Grey Towers 2022,2022-06-18,Glasgow,LLLeeds,3,6,mixed
Grey Towers 2022,2022-06-18,The Brown,Black Sheep,5,6,mixed
Grey Towers 2022,2022-06-18,Glasgow,Black Sheep,8,3,mixed
Grey Towers 2022,2022-06-18,Nemesis,LLLeeds,0,12,mixed
Grey Towers 2022,2022-06-18,The Brown,YCU,1,9,mixed
Grey Towers 2022,2022-06-18,Nemesis,Black Sheep,8,1,mixed
Grey Towers 2022,2022-06-18,The Brown,Glasgow,5,7,mixed
Grey Towers 2022,2022-06-18,YCU,LLLeeds,5,8,mixed
Grey Towers 2022,2022-06-18,Nemesis,The Brown,7,4,mixed
Grey Towers 2022,2022-06-18,YCU,Glasgow,6,7,mixed
Grey Towers 2022,2022-06-18,Black Sheep,LLLeeds,5,10,mixed
