Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Moooxed 2022,2022-06-18,Cambridge,St Albans,14,7,mixed
Moooxed 2022,2022-06-18,Herd,Hustle,14,7,mixed
Moooxed 2022,2022-06-18,Birmingham Ultimate,South Wales Storm,15,8,mixed
Moooxed 2022,2022-06-18,Bristol Mixed,Sharkbear!,15,2,mixed
Moooxed 2022,2022-06-18,Oxford Ultimate,Zoo,14,7,mixed
Moooxed 2022,2022-06-18,Mythago,GU,15,6,mixed
Moooxed 2022,2022-06-18,Brixton,Curve,10,9,mixed
Moooxed 2022,2022-06-18,Birmingham Ultimate,Sharkbear!,15,1,mixed
Moooxed 2022,2022-06-18,Cambridge,Hustle,11,7,mixed
Moooxed 2022,2022-06-18,Herd,St Albans,14,7,mixed
Moooxed 2022,2022-06-18,Mythago,Zoo,12,7,mixed
Moooxed 2022,2022-06-18,Oxford Ultimate,GU,14,3,mixed
Moooxed 2022,2022-06-18,Bristol Mixed,South Wales Storm,10,8,mixed
Moooxed 2022,2022-06-18,Thundering,Brixton,13,10,mixed
Moooxed 2022,2022-06-18,Oxford Ultimate,Mythago,10,12,mixed
Moooxed 2022,2022-06-18,Cambridge,Herd,9,11,mixed
Moooxed 2022,2022-06-18,St Albans,Hustle,6,11,mixed
Moooxed 2022,2022-06-18,Thundering,Curve,10,11,mixed
Moooxed 2022,2022-06-18,Birmingham Ultimate,Bristol Mixed,9,6,mixed
Moooxed 2022,2022-06-18,South Wales Storm,Sharkbear!,10,8,mixed
Moooxed 2022,2022-06-18,Zoo,GU,11,6,mixed
Moooxed 2022,2022-06-19,Brixton,GU,12,11,mixed
Moooxed 2022,2022-06-19,South Wales Storm,St Albans,10,7,mixed
Moooxed 2022,2022-06-19,Hustle,Sharkbear!,14,6,mixed
Moooxed 2022,2022-06-19,Thundering,Bristol Mixed,11,5,mixed
Moooxed 2022,2022-06-19,Mythago,Cambridge,15,6,mixed
Moooxed 2022,2022-06-19,Birmingham Ultimate,Curve,14,10,mixed
Moooxed 2022,2022-06-19,Herd,Oxford Ultimate,14,11,mixed
Moooxed 2022,2022-06-19,Zoo,Hustle,9,13,mixed
Moooxed 2022,2022-06-19,Brixton,South Wales Storm,9,10,mixed
Moooxed 2022,2022-06-19,Cambridge,Curve,10,9,mixed
Moooxed 2022,2022-06-19,GU,St Albans,10,7,mixed
Moooxed 2022,2022-06-19,Herd,Thundering,12,11,mixed
Moooxed 2022,2022-06-19,Birmingham Ultimate,Mythago,7,12,mixed
Moooxed 2022,2022-06-19,Bristol Mixed,Oxford Ultimate,9,11,mixed
Moooxed 2022,2022-06-19,Sharkbear!,St Albans,10,11,mixed
Moooxed 2022,2022-06-19,Hustle,South Wales Storm,15,7,mixed
Moooxed 2022,2022-06-19,Birmingham Ultimate,Thundering,9,13,mixed
Moooxed 2022,2022-06-19,Brixton,Zoo,9,15,mixed
Moooxed 2022,2022-06-19,Herd,Mythago,8,12,mixed
Moooxed 2022,2022-06-19,Oxford Ultimate,Cambridge,15,9,mixed
Moooxed 2022,2022-06-19,Curve,Bristol Mixed,11,10,mixed
Moooxed 2022,2022-06-19,GU,Sharkbear!,8,9,mixed
