Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Nationals 2022,2022-09-03,Reading,Lemmings,15,6,mixed
Nationals 2022,2022-09-03,SMOG,Purple Cobras,15,2,mixed
Nationals 2022,2022-09-03,Glasgow,Nemesis,15,4,mixed
Nationals 2022,2022-09-03,Deep Space,Thundering Herd,15,8,mixed
Nationals 2022,2022-09-03,Glasgow,Oxford Ultimate,6,13,mixed
Nationals 2022,2022-09-03,Lemmings,Black Sheep,15,2,mixed
Nationals 2022,2022-09-03,SMOG Rising,Purple Cobras,15,2,mixed
Nationals 2022,2022-09-03,Thundering Herd,Birmingham Ultimate,12,6,mixed
Nationals 2022,2022-09-03,Reading,Black Sheep,15,3,mixed
Nationals 2022,2022-09-03,SMOG,SMOG Rising,14,10,mixed
Nationals 2022,2022-09-03,Oxford Ultimate,Nemesis,14,8,mixed
Nationals 2022,2022-09-03,Deep Space,Birmingham Ultimate,11,3,mixed
Nationals 2022,2022-09-03,Reading,Glasgow,15,6,mixed
Nationals 2022,2022-09-03,Oxford Ultimate,Lemmings,12,13,mixed
Nationals 2022,2022-09-03,SMOG,Thundering Herd,15,5,mixed
Nationals 2022,2022-09-03,Birmingham Ultimate,Nemesis,15,7,mixed
Nationals 2022,2022-09-03,Purple Cobras,Black Sheep,14,10,mixed
Nationals 2022,2022-09-03,Deep Space,SMOG Rising,13,11,mixed
Nationals 2022,2022-09-04,Deep Space,Reading,9,14,mixed
Nationals 2022,2022-09-04,SMOG,Lemmings,15,5,mixed
Nationals 2022,2022-09-04,Oxford Ultimate,Thundering Herd,13,12,mixed
Nationals 2022,2022-09-04,Glasgow,SMOG Rising,12,10,mixed
Nationals 2022,2022-09-04,Birmingham Ultimate,Black Sheep,15,3,mixed
Nationals 2022,2022-09-04,Purple Cobras,Nemesis,11,7,mixed
Nationals 2022,2022-09-04,SMOG Rising,Thundering Herd,15,9,mixed
Nationals 2022,2022-09-04,Deep Space,Lemmings,11,8,mixed
Nationals 2022,2022-09-04,Oxford Ultimate,Glasgow,12,11,mixed
Nationals 2022,2022-09-04,SMOG,Reading,14,11,mixed
Nationals 2022,2022-09-04,Lemmings,Oxford Ultimate,11,9,mixed
Nationals 2022,2022-09-04,Birmingham Ultimate,Purple Cobras,10,9,mixed
Nationals 2022,2022-09-04,Nemesis,Black Sheep,14,10,mixed
