Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Reading Half 2022,2022-04-02,Purple Cobras,BN1,8,4,mixed
Reading Half 2022,2022-04-02,Thundering Herd,Big Fish Little Fish,5,12,mixed
Reading Half 2022,2022-04-02,St Albans,Cambridge Ultimate 2,5,9,mixed
Reading Half 2022,2022-04-02,Brixton,Sharkbear!,12,1,mixed
Reading Half 2022,2022-04-02,Space,Cambridge,13,9,mixed
Reading Half 2022,2022-04-02,Reading,Oxford Ultimate,13,7,mixed
Reading Half 2022,2022-04-02,Guildford Ultimate,BN1,4,11,mixed
Reading Half 2022,2022-04-02,Reading 3,Big Fish Little Fish,5,11,mixed
Reading Half 2022,2022-04-02,Mixed Feelings,Cambridge Ultimate 2,9,5,mixed
Reading Half 2022,2022-04-02,Zoo,Sharkbear!,13,1,mixed
Reading Half 2022,2022-04-02,Deep,Lemmings,6,8,mixed
Reading Half 2022,2022-04-02,Reading 2,Thundering Herd Masters,13,2,mixed
Reading Half 2022,2022-04-02,Purple Cobras,Guildford Ultimate,7,5,mixed
Reading Half 2022,2022-04-02,Thundering Herd,Reading 3,9,10,mixed
Reading Half 2022,2022-04-02,St Albans,Mixed Feelings,5,7,mixed
Reading Half 2022,2022-04-02,Brixton,Zoo,8,7,mixed
Reading Half 2022,2022-04-02,Reading 2,Lemmings,6,11,mixed
Reading Half 2022,2022-04-02,Deep,Thundering Herd Masters,9,5,mixed
Reading Half 2022,2022-04-02,Reading,Cambridge,13,8,mixed
Reading Half 2022,2022-04-02,Space,Oxford Ultimate,7,10,mixed
Reading Half 2022,2022-04-02,Zoo,Reading 3,8,7,mixed
Reading Half 2022,2022-04-02,Guildford Ultimate,St Albans,11,6,mixed
Reading Half 2022,2022-04-02,Big Fish Little Fish,Brixton,11,5,mixed
Reading Half 2022,2022-04-02,Purple Cobras,Mixed Feelings,10,6,mixed
Reading Half 2022,2022-04-02,Thundering Herd,Sharkbear!,13,2,mixed
Reading Half 2022,2022-04-02,Cambridge Ultimate 2,BN1,2,13,mixed
Reading Half 2022,2022-04-02,Deep,Reading 2,6,11,mixed
Reading Half 2022,2022-04-02,Lemmings,Thundering Herd Masters,11,6,mixed
Reading Half 2022,2022-04-02,Reading,Space,9,8,mixed
Reading Half 2022,2022-04-02,Oxford Ultimate,Cambridge,6,13,mixed
Reading Half 2022,2022-04-02,Big Fish Little Fish,Purple Cobras,11,5,mixed
Reading Half 2022,2022-04-02,Thundering Herd,Guildford Ultimate,3,8,mixed
Reading Half 2022,2022-04-02,Zoo,BN1,3,11,mixed
Reading Half 2022,2022-04-02,Cambridge Ultimate 2,Reading 3,8,11,mixed
Reading Half 2022,2022-04-02,Mixed Feelings,Brixton,9,8,mixed
Reading Half 2022,2022-04-02,St Albans,Sharkbear!,11,3,mixed
Reading Half 2022,2022-04-02,Lemmings,Reading,6,11,mixed
Reading Half 2022,2022-04-02,Cambridge,Reading 2,9,11,mixed
Reading Half 2022,2022-04-02,Deep,Space,10,9,mixed
Reading Half 2022,2022-04-02,Oxford Ultimate,Thundering Herd Masters,11,7,mixed
