Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Regionals North 2022,2022-08-13,SMOG,Glasgow,14,5,mixed
Regionals North 2022,2022-08-13,Cambridge,Black Sheep,10,12,mixed
Regionals North 2022,2022-08-13,Lemmings,Birmingham Ultimate,14,4,mixed
Regionals North 2022,2022-08-13,SMOG Rising,Nemesis,15,4,mixed
Regionals North 2022,2022-08-13,SMOG,Cambridge,15,2,mixed
Regionals North 2022,2022-08-13,Glasgow,Black Sheep,15,4,mixed
Regionals North 2022,2022-08-13,Lemmings,SMOG Rising,11,7,mixed
Regionals North 2022,2022-08-13,Birmingham Ultimate,Nemesis,12,6,mixed
Regionals North 2022,2022-08-13,Lemmings,Nemesis,14,3,mixed
Regionals North 2022,2022-08-13,SMOG Rising,Birmingham Ultimate,12,7,mixed
Regionals North 2022,2022-08-13,Cambridge,Glasgow,4,15,mixed
Regionals North 2022,2022-08-13,SMOG,Black Sheep,15,1,mixed
Regionals North 2022,2022-08-14,SMOG,SMOG Rising,15,7,mixed
Regionals North 2022,2022-08-14,Lemmings,Glasgow,7,12,mixed
Regionals North 2022,2022-08-14,Birmingham Ultimate,Cambridge,14,7,mixed
Regionals North 2022,2022-08-14,Black Sheep,Nemesis,9,11,mixed
Regionals North 2022,2022-08-14,SMOG,Glasgow,15,3,mixed
Regionals North 2022,2022-08-14,Lemmings,SMOG Rising,13,12,mixed
Regionals North 2022,2022-08-14,Birmingham Ultimate,Nemesis,12,4,mixed
Regionals North 2022,2022-08-14,Black Sheep,Cambridge,11,7,mixed
