Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Regionals South 2022,2022-08-13,Deep Space,Zoo,15,1,mixed
Regionals South 2022,2022-08-13,Oxford Ultimate,Thundering Herd 2,12,2,mixed
Regionals South 2022,2022-08-13,Brighton,Guildford,7,5,mixed
Regionals South 2022,2022-08-13,Thundering Herd,Bristol Mixed,12,5,mixed
Regionals South 2022,2022-08-13,Reading,Mixed Feelings,15,3,mixed
Regionals South 2022,2022-08-13,Reading,Bristol Mixed,15,2,mixed
Regionals South 2022,2022-08-13,Mixed Feelings,Purple Cobras,6,9,mixed
Regionals South 2022,2022-08-13,Deep Space,Brighton,14,4,mixed
Regionals South 2022,2022-08-13,Thundering Herd 2,Guildford,7,9,mixed
Regionals South 2022,2022-08-13,Oxford Ultimate,Zoo,10,4,mixed
Regionals South 2022,2022-08-13,Thundering Herd,Purple Cobras,9,4,mixed
Regionals South 2022,2022-08-13,Thundering Herd 2,Zoo,5,7,mixed
Regionals South 2022,2022-08-13,Deep Space,Guildford,13,3,mixed
Regionals South 2022,2022-08-13,Oxford Ultimate,Brighton,13,4,mixed
Regionals South 2022,2022-08-13,Mixed Feelings,Bristol Mixed,7,4,mixed
Regionals South 2022,2022-08-13,Purple Cobras,Bristol Mixed,12,3,mixed
Regionals South 2022,2022-08-13,Reading,Thundering Herd,13,4,mixed
Regionals South 2022,2022-08-13,Deep Space,Oxford Ultimate,14,5,mixed
Regionals South 2022,2022-08-13,Brighton,Thundering Herd 2,9,5,mixed
Regionals South 2022,2022-08-13,Zoo,Guildford,9,5,mixed
Regionals South 2022,2022-08-13,Thundering Herd,Mixed Feelings,8,6,mixed
Regionals South 2022,2022-08-13,Reading,Purple Cobras,9,8,mixed
Regionals South 2022,2022-08-14,Oxford Ultimate,Guildford,8,6,mixed
Regionals South 2022,2022-08-14,Brighton,Zoo,10,6,mixed
Regionals South 2022,2022-08-14,Deep Space,Thundering Herd 2,10,4,mixed
Regionals South 2022,2022-08-14,Reading,Deep Space,8,9,mixed
Regionals South 2022,2022-08-14,Oxford Ultimate,Thundering Herd,7,6,mixed
Regionals South 2022,2022-08-14,Purple Cobras,Brighton,6,4,mixed
Regionals South 2022,2022-08-14,Zoo,Mixed Feelings,4,8,mixed
Regionals South 2022,2022-08-14,Bristol Mixed,Thundering Herd 2,6,8,mixed
Regionals South 2022,2022-08-14,Reading,Oxford Ultimate,8,4,mixed
Regionals South 2022,2022-08-14,Deep Space,Purple Cobras,10,5,mixed
Regionals South 2022,2022-08-14,Thundering Herd,Brighton,7,5,mixed
Regionals South 2022,2022-08-14,Mixed Feelings,Guildford,10,4,mixed
Regionals South 2022,2022-08-14,Zoo,Bristol Mixed,6,4,mixed
Regionals South 2022,2022-08-14,Reading,Brighton,15,1,mixed
Regionals South 2022,2022-08-14,Deep Space,Thundering Herd,12,4,mixed
Regionals South 2022,2022-08-14,Oxford Ultimate,Purple Cobras,9,5,mixed
Regionals South 2022,2022-08-14,Mixed Feelings,Thundering Herd 2,12,4,mixed
Regionals South 2022,2022-08-14,Bristol Mixed,Guildford,5,6,mixed
