Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Uni Fans 2022,2022-04-09,MCP,Black Sheep,10,4,mixed
Uni Fans 2022,2022-04-09,Lemmings,Sheffield Steal,10,4,mixed
Uni Fans 2022,2022-04-09,Glasgow,Bristol Mixed,10,7,mixed
Uni Fans 2022,2022-04-09,Glasgow,MCP,5,4,mixed
Uni Fans 2022,2022-04-09,Bristol Mixed,Black Sheep,12,4,mixed
Uni Fans 2022,2022-04-09,Plymouth Mixed,Sheffield Steal,2,11,mixed
Uni Fans 2022,2022-04-09,Lemmings,MCP,10,2,mixed
Uni Fans 2022,2022-04-09,Bristol Mixed,Plymouth Mixed,11,1,mixed
Uni Fans 2022,2022-04-09,Glasgow,Sheffield Steal,6,7,mixed
Uni Fans 2022,2022-04-09,Glasgow,Black Sheep,11,2,mixed
Uni Fans 2022,2022-04-09,Lemmings,Plymouth Mixed,11,3,mixed
Uni Fans 2022,2022-04-10,Lemmings,Black Sheep,13,4,mixed
Uni Fans 2022,2022-04-10,MCP,Sheffield Steal,13,5,mixed
Uni Fans 2022,2022-04-10,Glasgow,Plymouth Mixed,10,4,mixed
Uni Fans 2022,2022-04-10,Glasgow,Lemmings,7,13,mixed
Uni Fans 2022,2022-04-10,Black Sheep,Plymouth Mixed,11,13,mixed
Uni Fans 2022,2022-04-10,Bristol Mixed,Sheffield Steal,10,13,mixed
Uni Fans 2022,2022-04-10,MCP,Bristol Mixed,10,5,mixed
Uni Fans 2022,2022-04-10,Lemmings,Bristol Mixed,13,3,mixed
Uni Fans 2022,2022-04-10,MCP,Plymouth Mixed,13,4,mixed
Uni Fans 2022,2022-04-10,Black Sheep,Sheffield Steal,6,13,mixed
