Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
YDG 2022,2022-07-09,Mixed Feelings,Flyght Club,11,8,mixed
YDG 2022,2022-07-09,Zootopia,GU,6,11,mixed
YDG 2022,2022-07-09,Reading,Oxford Ultimate,15,4,mixed
YDG 2022,2022-07-09,Lemmings,Thundering,12,6,mixed
YDG 2022,2022-07-09,Deep Space,Cambridge,15,2,mixed
YDG 2022,2022-07-09,SMOG Rising,Purple Cobras,15,1,mixed
YDG 2022,2022-07-09,Brixton,Norwich Ultimate,8,12,mixed
YDG 2022,2022-07-09,Brighton Mixed,St Albans,14,10,mixed
YDG 2022,2022-07-09,Herd,South Wales Storm,14,6,mixed
YDG 2022,2022-07-09,Zoolander,Horsham Ultimate,5,15,mixed
YDG 2022,2022-07-09,Curve,Plymouth Mixed,15,4,mixed
YDG 2022,2022-07-09,Bristol Mixed,Black Sheep,13,10,mixed
YDG 2022,2022-07-09,Bristol Mixed,Plymouth Mixed,11,10,mixed
YDG 2022,2022-07-09,Curve,Black Sheep,15,6,mixed
YDG 2022,2022-07-09,Zoolander,South Wales Storm,14,8,mixed
YDG 2022,2022-07-09,Herd,Horsham Ultimate,4,15,mixed
YDG 2022,2022-07-09,Reading,Lemmings,15,6,mixed
YDG 2022,2022-07-09,Oxford Ultimate,Thundering,15,12,mixed
YDG 2022,2022-07-09,Mixed Feelings,GU,15,2,mixed
YDG 2022,2022-07-09,Zootopia,Flyght Club,7,12,mixed
YDG 2022,2022-07-09,Brixton,Brighton Mixed,4,15,mixed
YDG 2022,2022-07-09,Norwich Ultimate,St Albans,14,8,mixed
YDG 2022,2022-07-09,Deep Space,Purple Cobras,15,4,mixed
YDG 2022,2022-07-09,SMOG Rising,Cambridge,15,13,mixed
YDG 2022,2022-07-09,Herd,Zoolander,15,12,mixed
YDG 2022,2022-07-09,South Wales Storm,Horsham Ultimate,7,15,mixed
YDG 2022,2022-07-09,Brixton,St Albans,8,15,mixed
YDG 2022,2022-07-09,Brighton Mixed,Norwich Ultimate,15,4,mixed
YDG 2022,2022-07-09,Mixed Feelings,Zootopia,15,5,mixed
YDG 2022,2022-07-09,Flyght Club,GU,11,10,mixed
YDG 2022,2022-07-09,Deep Space,SMOG Rising,10,8,mixed
YDG 2022,2022-07-09,Cambridge,Purple Cobras,10,7,mixed
YDG 2022,2022-07-09,Curve,Bristol Mixed,15,6,mixed
YDG 2022,2022-07-09,Plymouth Mixed,Black Sheep,13,9,mixed
YDG 2022,2022-07-09,Reading,Thundering,15,4,mixed
YDG 2022,2022-07-09,Lemmings,Oxford Ultimate,15,12,mixed
YDG 2022,2022-07-10,GU,South Wales Storm,11,8,mixed
YDG 2022,2022-07-10,St Albans,Black Sheep,13,8,mixed
YDG 2022,2022-07-10,Zoolander,Zootopia,12,6,mixed
YDG 2022,2022-07-10,Plymouth Mixed,Brixton,7,14,mixed
YDG 2022,2022-07-10,Bristol Mixed,Norwich Ultimate,6,12,mixed
YDG 2022,2022-07-10,Herd,Flyght Club,13,7,mixed
YDG 2022,2022-07-10,Oxford Ultimate,Curve,15,11,mixed
YDG 2022,2022-07-10,Cambridge,Horsham Ultimate,8,13,mixed
YDG 2022,2022-07-10,Thundering,Brighton Mixed,13,10,mixed
YDG 2022,2022-07-10,Purple Cobras,Mixed Feelings,8,10,mixed
YDG 2022,2022-07-10,Deep Space,Lemmings,12,13,mixed
YDG 2022,2022-07-10,Reading,SMOG Rising,15,11,mixed
YDG 2022,2022-07-10,Purple Cobras,Curve,10,9,mixed
YDG 2022,2022-07-10,Brighton Mixed,Cambridge,11,7,mixed
YDG 2022,2022-07-10,Oxford Ultimate,Mixed Feelings,13,9,mixed
YDG 2022,2022-07-10,Horsham Ultimate,Thundering,8,10,mixed
YDG 2022,2022-07-10,Plymouth Mixed,South Wales Storm,7,12,mixed
YDG 2022,2022-07-10,Zootopia,Black Sheep,13,8,mixed
YDG 2022,2022-07-10,Bristol Mixed,Flyght Club,7,8,mixed
YDG 2022,2022-07-10,Herd,Norwich Ultimate,11,10,mixed
YDG 2022,2022-07-10,GU,Brixton,6,12,mixed
YDG 2022,2022-07-10,St Albans,Zoolander,7,15,mixed
YDG 2022,2022-07-10,Lemmings,Reading,9,15,mixed
YDG 2022,2022-07-10,SMOG Rising,Deep Space,8,15,mixed
YDG 2022,2022-07-10,Bristol Mixed,Herd,9,15,mixed
YDG 2022,2022-07-10,Norwich Ultimate,Flyght Club,10,11,mixed
YDG 2022,2022-07-10,Purple Cobras,Brighton Mixed,7,11,mixed
YDG 2022,2022-07-10,Cambridge,Curve,14,12,mixed
YDG 2022,2022-07-10,Oxford Ultimate,Thundering,15,0,mixed
YDG 2022,2022-07-10,Horsham Ultimate,Mixed Feelings,10,7,mixed
YDG 2022,2022-07-10,Brixton,Zoolander,10,7,mixed
YDG 2022,2022-07-10,St Albans,GU,11,9,mixed
YDG 2022,2022-07-10,South Wales Storm,Zootopia,12,10,mixed
YDG 2022,2022-07-10,Black Sheep,Plymouth Mixed,10,12,mixed
