Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Grey Towers,2023-06-17,LLLeeds 1,Contested 1st,8,9,mixed
Grey Towers,2023-06-17,Nemesis,Glasgow Mixed 2,10,6,mixed
Grey Towers,2023-06-17,Newcastle Brown,Mamak Ult,13,9,mixed
Grey Towers,2023-06-17,Glasgow Mixed,Sheffield Steal,13,8,mixed
Grey Towers,2023-06-17,LLLeeds 1,Black Sheep Mixed,13,4,mixed
Grey Towers,2023-06-17,Nemesis,Contested 1st,9,8,mixed
Grey Towers,2023-06-17,Sheffield Steal,Mamak Ult,8,9,mixed
Grey Towers,2023-06-17,Glasgow Mixed,Newcastle Brown,14,4,mixed
Grey Towers,2023-06-17,Glasgow Mixed 2,Black Sheep Mixed,9,6,mixed
Grey Towers,2023-06-17,Nemesis,LLLeeds 1,11,10,mixed
Grey Towers,2023-06-17,Glasgow Mixed,Mamak Ult,15,3,mixed
Grey Towers,2023-06-17,Newcastle Brown,Sheffield Steal,14,8,mixed
Grey Towers,2023-06-17,Black Sheep Mixed,Contested 1st,5,12,mixed
Grey Towers,2023-06-17,LLLeeds 1,Glasgow Mixed 2,11,3,mixed
Grey Towers,2023-06-17,Nemesis,Black Sheep Mixed,12,5,mixed
Grey Towers,2023-06-17,Glasgow Mixed 2,Contested 1st,6,11,mixed
Grey Towers,2023-06-18,LLLeeds 1,Sheffield Steal,15,4,mixed
Grey Towers,2023-06-18,Mamak Ult,Glasgow Mixed 2,9,11,mixed
Grey Towers,2023-06-18,Nemesis,Newcastle Brown,10,12,mixed
Grey Towers,2023-06-18,Glasgow Mixed,Contested 1st,15,7,mixed
Grey Towers,2023-06-18,Mamak Ult,Black Sheep Mixed,5,12,mixed
Grey Towers,2023-06-18,Glasgow Mixed 2,Sheffield Steal,10,9,mixed
Grey Towers,2023-06-18,Glasgow Mixed,Newcastle Brown,15,2,mixed
Grey Towers,2023-06-18,Nemesis,Contested 1st,8,15,mixed
Grey Towers,2023-06-18,Sheffield Steal,Black Sheep Mixed,10,13,mixed
Grey Towers,2023-06-18,LLLeeds 1,Mamak Ult,15,6,mixed
