Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Spring Startup,2023-04-22,Fire of London,LLLeeds Open 1,10,9,open
Spring Startup,2023-04-22,Cambridge Ultimate,Manchester Ultimate,9,15,open
Spring Startup,2023-04-22,Oxford Ultimate,SOLENT 1,11,12,open
Spring Startup,2023-04-22,Bristol Open,Newcastle Brown,15,9,open
Spring Startup,2023-04-22,Devon 1,Lemmings 1,13,7,open
Spring Startup,2023-04-22,Bristol Open 2,Steal,7,13,open
Spring Startup,2023-04-22,Brighton Ultimate,Flyght Open 2,15,5,open
Spring Startup,2023-04-22,SMOG Men,LLLeeds Open 1,13,8,open
Spring Startup,2023-04-22,Reading Open,Manchester Ultimate,14,12,open
Spring Startup,2023-04-22,Oxford Ultimate,Manchester Bees,14,13,open
Spring Startup,2023-04-22,Flyght Open 1,Newcastle Brown,14,9,open
Spring Startup,2023-04-22,Ka-Pow!,Lemmings 1,15,5,open
Spring Startup,2023-04-22,Bristol Open 2,Brixton,15,7,open
Spring Startup,2023-04-22,Brighton Ultimate,St Albans,15,9,open
Spring Startup,2023-04-22,SMOG Men,Fire of London,15,8,open
Spring Startup,2023-04-22,Reading Open,Cambridge Ultimate,15,9,open
Spring Startup,2023-04-22,Birmingham Ultimate,SOLENT A,9,12,open
Spring Startup,2023-04-22,SOLENT 1,Manchester Bees,14,10,open
Spring Startup,2023-04-22,Bristol Open,Flyght Open 1,15,4,open
Spring Startup,2023-04-22,Devon 1,Ka-Pow!,10,14,open
Spring Startup,2023-04-22,Steal,Brixton,15,2,open
Spring Startup,2023-04-22,Flyght Open 2,St Albans,3,15,open
Spring Startup,2023-04-22,SOLENT A,Oxford Ultimate,15,7,open
Spring Startup,2023-04-22,SOLENT 1,Birmingham Ultimate,15,5,open
Spring Startup,2023-04-22,Manchester Ultimate,LLLeeds Open 1,12,6,open
Spring Startup,2023-04-22,SMOG Men,Reading Open,14,13,open
Spring Startup,2023-04-22,Fire of London,Cambridge Ultimate,15,8,open
Spring Startup,2023-04-22,Bristol Open,Ka-Pow!,14,6,open
Spring Startup,2023-04-22,Brighton Ultimate,Bristol Open 2,15,8,open
Spring Startup,2023-04-22,Steal,St Albans,14,9,open
Spring Startup,2023-04-22,Devon 1,Newcastle Brown,14,8,open
Spring Startup,2023-04-22,Flyght Open 1,Lemmings 1,11,12,open
Spring Startup,2023-04-23,Newcastle Brown,SOLENT 1,15,12,open
Spring Startup,2023-04-23,Cambridge Ultimate,Steal,15,7,open
Spring Startup,2023-04-23,Flyght Open 1,Brighton Ultimate,9,14,open
Spring Startup,2023-04-23,LLLeeds Open 1,SOLENT A,12,10,open
Spring Startup,2023-04-23,St Albans,Manchester Bees,15,10,open
Spring Startup,2023-04-23,Birmingham Ultimate,Flyght Open 2,13,9,open
Spring Startup,2023-04-23,Oxford Ultimate,Brixton,15,5,open
Spring Startup,2023-04-23,Cambridge Ultimate,Newcastle Brown,15,10,open
Spring Startup,2023-04-23,SOLENT 1,Steal,14,7,open
Spring Startup,2023-04-23,Brighton Ultimate,LLLeeds Open 1,15,8,open
Spring Startup,2023-04-23,SOLENT A,Flyght Open 1,7,15,open
Spring Startup,2023-04-23,SMOG Men,Lemmings 1,15,7,open
Spring Startup,2023-04-23,Ka-Pow!,Manchester Ultimate,12,15,open
Spring Startup,2023-04-23,Reading Open,Devon 1,15,10,open
Spring Startup,2023-04-23,Bristol Open,Fire of London,15,11,open
Spring Startup,2023-04-23,Bristol Open 2,Oxford Ultimate,13,14,open
Spring Startup,2023-04-23,St Albans,Birmingham Ultimate,15,8,open
Spring Startup,2023-04-23,Brixton,Manchester Bees,7,15,open
Spring Startup,2023-04-23,SMOG Men,Manchester Ultimate,13,7,open
Spring Startup,2023-04-23,Ka-Pow!,Lemmings 1,15,5,open
Spring Startup,2023-04-23,Bristol Open,Reading Open,15,9,open
Spring Startup,2023-04-23,Devon 1,Fire of London,12,13,open
Spring Startup,2023-04-23,Oxford Ultimate,St Albans,14,13,open
Spring Startup,2023-04-23,Birmingham Ultimate,Bristol Open 2,12,11,open
Spring Startup,2023-04-23,Flyght Open 2,Manchester Bees,10,14,open
Spring Startup,2023-04-23,Flyght Open 1,SOLENT 1,11,10,open
Spring Startup,2023-04-23,Steal,SOLENT A,11,7,open
Spring Startup,2023-04-23,Brighton Ultimate,Cambridge Ultimate,15,9,open
Spring Startup,2023-04-23,Newcastle Brown,LLLeeds Open 1,14,15,open
Spring Startup,2023-04-23,SMOG Men,Bristol Open,12,14,open
Spring Startup,2023-04-23,Reading Open,Manchester Ultimate,15,11,open
Spring Startup,2023-04-23,Brixton,Flyght Open 2,10,9,open
Spring Startup,2023-04-23,Ka-Pow!,Fire of London,14,11,open
Spring Startup,2023-04-23,Devon 1,Lemmings 1,12,10,open
