Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Spring Invite Leuven,2023-04-21,7 Schwaben,Uprising,15,9,Open
Spring Invite Leuven,2023-04-21,7 Schwaben,Freezzz Beezzz,8,15,Open
Spring Invite Leuven,2023-04-21,7 Schwaben,Révolution'air,15,9,Open
Spring Invite Leuven,2023-04-21,Aarhus Ultimate,Frizzly Bears,15,14,Open
Spring Invite Leuven,2023-04-21,Bad Skid,SmashD,15,6,Open
Spring Invite Leuven,2023-04-21,Bad Skid,Aarhus Ultimate,15,6,Open
Spring Invite Leuven,2023-04-21,Bora,Gentle Open,4,15,Open
Spring Invite Leuven,2023-04-21,Bora,Révolution'air,13,12,Open
Spring Invite Leuven,2023-04-21,Bora,7 Schwaben,9,15,Open
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,UFO,13,15,Open
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,Gentle Open,11,15,Open
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,Aarhus Ultimate,15,9,Open
Spring Invite Leuven,2023-04-21,Frizzly Bears,JetSet Ultimate Open,10,15,Open
Spring Invite Leuven,2023-04-21,Frizzly Bears,XVI,12,13,Open
Spring Invite Leuven,2023-04-21,Frizzly Bears,Hard2Fisch,15,11,Open
Spring Invite Leuven,2023-04-21,Frizzly Bears,Bora,15,8,Open
Spring Invite Leuven,2023-04-21,Gentle Open,Révolution'air,15,6,Open
Spring Invite Leuven,2023-04-21,Gentle Open,Terrible Monkeys,15,12,Open
Spring Invite Leuven,2023-04-21,Gentle Open,Terrible Monkeys,15,0,Open
Spring Invite Leuven,2023-04-21,Hard2Fisch,Bad Skid,7,15,Open
Spring Invite Leuven,2023-04-21,Hard2Fisch,XVI,5,15,Open
Spring Invite Leuven,2023-04-21,Hard2Fisch,Uprising,4,15,Open
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,XVI,15,8,Open
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Aarhus Ultimate,15,9,Open
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,SmashD,15,7,Open
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Gentle Open,13,12,Open
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Bad Skid,15,14,Open
Spring Invite Leuven,2023-04-21,Révolution'air,Terrible Monkeys,5,15,Open
Spring Invite Leuven,2023-04-21,Révolution'air,Uprising,10,11,Open
Spring Invite Leuven,2023-04-21,SmashD,Hard2Fisch,15,9,Open
Spring Invite Leuven,2023-04-21,SmashD,Freezzz Beezzz,11,15,Open
Spring Invite Leuven,2023-04-21,SmashD,UFO,15,10,Open
Spring Invite Leuven,2023-04-21,Terrible Monkeys,Bora,15,9,Open
Spring Invite Leuven,2023-04-21,Terrible Monkeys,Bad Skid,8,15,Open
Spring Invite Leuven,2023-04-21,UFO,7 Schwaben,15,12,Open
Spring Invite Leuven,2023-04-21,UFO,Terrible Monkeys,12,15,Open
Spring Invite Leuven,2023-04-21,UFO,Aarhus Ultimate,11,12,Open
Spring Invite Leuven,2023-04-21,Uprising,Freezzz Beezzz,11,13,Open
Spring Invite Leuven,2023-04-21,Uprising,UFO,7,14,Open
Spring Invite Leuven,2023-04-21,Uprising,Bora,10,13,Open
Spring Invite Leuven,2023-04-21,XVI,Aarhus Ultimate,10,13,Open
Spring Invite Leuven,2023-04-21,XVI,7 Schwaben,8,13,Open
Spring Invite Padova,2023-04-21,3SB - Open,FWD>>,15,6,Open
Spring Invite Padova,2023-04-21,3SB - Open,Flying Angels Bern,15,9,Open
Spring Invite Padova,2023-04-21,3SB - Open,Alligators,12,10,Open
Spring Invite Padova,2023-04-21,3SB - Open,Panthers Bern,15,8,Open
Spring Invite Padova,2023-04-21,3SB - Open,Cus Padova Barbastreji,15,8,Open
Spring Invite Padova,2023-04-21,3SB - Women,Cheetahs,15,8,Women
Spring Invite Padova,2023-04-21,3SB - Women,Catchup Women,13,10,Women
Spring Invite Padova,2023-04-21,3SB - Women,Tequila Boom Boom,11,15,Women
Spring Invite Padova,2023-04-21,Alligators,Outsiterz,15,13,Open
