Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
August Edition,2023-08-12,Spice,SYC,9,8,women
August Edition,2023-08-12,Bristol,Brighton,15,0,women
August Edition,2023-08-12,Iceni,Mint,15,0,women
August Edition,2023-08-12,Brighton Ultimate,St Albans Open,15,4,open
August Edition,2023-08-12,Brixton Open,Curve Open,3,15,open
August Edition,2023-08-12,SOLENT 1,GB Grand Masters Open,11,13,open
August Edition,2023-08-12,SYC,Brixton,15,2,women
August Edition,2023-08-12,Spice,Mint,15,1,women
August Edition,2023-08-12,Bristol,Iceni,9,13,women
August Edition,2023-08-12,Brighton Ultimate,SOLENT 1,14,4,open
August Edition,2023-08-12,Curve Open,St Albans Open,13,6,open
August Edition,2023-08-12,Brixton Open,GB Grand Masters Open,6,15,open
August Edition,2023-08-12,St Albans Open,GB Grand Masters Open,8,15,open
August Edition,2023-08-12,Brighton Ultimate,Curve Open,15,7,open
August Edition,2023-08-12,SOLENT 1,Brixton Open,15,1,open
August Edition,2023-08-12,Iceni,SYC,5,9,women
August Edition,2023-08-12,Bristol,Brixton,15,3,women
August Edition,2023-08-12,Brighton,Mint,10,4,women
August Edition,2023-08-12,Iceni,Brixton,15,1,women
August Edition,2023-08-12,Spice,Brighton,15,1,women
August Edition,2023-08-13,Bristol,Spice,6,10,women
August Edition,2023-08-13,SYC,Brighton,15,1,women
August Edition,2023-08-13,Brixton,Mint,10,5,women
August Edition,2023-08-13,SOLENT 1,St Albans Open,15,8,open
August Edition,2023-08-13,Curve Open,GB Grand Masters Open,4,15,open
August Edition,2023-08-13,Brighton Ultimate,Brixton Open,15,0,open
August Edition,2023-08-13,Bristol,Mint,15,1,women
August Edition,2023-08-13,Iceni,Brighton,15,0,women
August Edition,2023-08-13,Spice,Brixton,15,3,women
August Edition,2023-08-13,SOLENT 1,Curve Open,1,0,open
August Edition,2023-08-13,Brixton Open,St Albans Open,1,0,open
August Edition,2023-08-13,Brighton Ultimate,GB Grand Masters Open,1,0,open
August Edition,2023-08-13,Brixton Open,St Albans Open,9,8,open
August Edition,2023-08-13,Brighton Ultimate,GB Grand Masters Open,13,10,open
August Edition,2023-08-13,SOLENT 1,Curve Open,13,7,open
August Edition,2023-08-13,Spice,Iceni,9,12,women
August Edition,2023-08-13,SYC,Mint,15,1,women
August Edition,2023-08-13,Brixton,Brighton,9,8,women
August Edition,2023-08-13,Bristol,SYC,11,7,women
