Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Manchester Mayhem,2023-05-14,Lemmings 1,Manchester Bees,15,6,open
Manchester Mayhem,2023-05-14,Bristol Open,Cambridge Ultimate,11,9,open
Manchester Mayhem,2023-05-14,Yorkshire Ultimate,Lemmings 2,6,10,open
Manchester Mayhem,2023-05-14,Manchester Ultimate,Newcastle Brown,13,4,open
Manchester Mayhem,2023-05-14,Lemmings 1,Curve,15,7,open
Manchester Mayhem,2023-05-14,Yorkshire Ultimate,Flyght Open,7,10,open
Manchester Mayhem,2023-05-14,Manchester Ultimate,Lemmings 2,7,8,open
Manchester Mayhem,2023-05-14,Cambridge Ultimate,Curve,15,4,open
Manchester Mayhem,2023-05-14,Newcastle Brown,Flyght Open,10,9,open
Manchester Mayhem,2023-05-14,Bristol Open,Manchester Bees,15,7,open
Manchester Mayhem,2023-05-14,Manchester Ultimate,Yorkshire Ultimate,8,7,open
Manchester Mayhem,2023-05-14,Bristol Open,Lemmings 1,14,9,open
Manchester Mayhem,2023-05-14,Flyght Open,Lemmings 2,13,6,open
Manchester Mayhem,2023-05-14,Yorkshire Ultimate,Newcastle Brown,10,9,open
Manchester Mayhem,2023-05-14,Curve,Manchester Bees,10,14,open
Manchester Mayhem,2023-05-14,Lemmings 1,Cambridge Ultimate,12,7,open
Manchester Mayhem,2023-05-14,Manchester Ultimate,Flyght Open,15,4,open
Manchester Mayhem,2023-05-14,Newcastle Brown,Lemmings 2,5,10,open
Manchester Mayhem,2023-05-14,Bristol Open,Curve,15,5,open
Manchester Mayhem,2023-05-14,Cambridge Ultimate,Manchester Bees,14,6,open
Manchester Mayhem,2023-05-15,Lemmings 1,Flyght Open,15,4,open
Manchester Mayhem,2023-05-15,Manchester Ultimate,Cambridge Ultimate,14,15,open
Manchester Mayhem,2023-05-15,Yorkshire Ultimate,Curve,15,3,open
Manchester Mayhem,2023-05-15,Manchester Bees,Newcastle Brown,14,13,open
Manchester Mayhem,2023-05-15,Lemmings 2,Lemmings 1,5,15,open
Manchester Mayhem,2023-05-15,Bristol Open,Cambridge Ultimate,15,12,open
Manchester Mayhem,2023-05-15,Yorkshire Ultimate,Manchester Bees,15,5,open
Manchester Mayhem,2023-05-15,Newcastle Brown,Curve,10,13,open
Manchester Mayhem,2023-05-15,Manchester Ultimate,Flyght Open,14,13,open
Manchester Mayhem,2023-05-15,Bristol Open,Lemmings 1,14,15,open
Manchester Mayhem,2023-05-15,Lemmings 2,Cambridge Ultimate,7,15,open
