Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Mixed Imperial,2023-03-25,Curve,Guildford,6,3,mixed
Mixed Imperial,2023-03-25,Mixed Feelings,Zoo 1,9,3,mixed
Mixed Imperial,2023-03-25,Hooves,Thundering Herd 1,10,4,mixed
Mixed Imperial,2023-03-25,Deep Space,GB U24 Mixed,11,6,mixed
Mixed Imperial,2023-03-25,Curve,Sharkbear!,11,1,mixed
Mixed Imperial,2023-03-25,Mixed Feelings,Guildford,10,1,mixed
Mixed Imperial,2023-03-25,Cambridge Ultimate,Plymouth Ultimate,14,1,mixed
Mixed Imperial,2023-03-25,Purple Cobras,Brixton,11,4,mixed
Mixed Imperial,2023-03-25,Lemmings 1,BN1,10,9,mixed
Mixed Imperial,2023-03-25,Reading 1,Oxford Ultimate,13,9,mixed
Mixed Imperial,2023-03-25,Zoo 1,Sharkbear!,6,3,mixed
Mixed Imperial,2023-03-25,Purple Cobras,Cambridge Ultimate,8,3,mixed
Mixed Imperial,2023-03-25,Brixton,Plymouth Ultimate,6,1,mixed
Mixed Imperial,2023-03-25,Deep Space,Thundering Herd 1,8,4,mixed
Mixed Imperial,2023-03-25,Hooves,GB U24 Mixed,12,6,mixed
Mixed Imperial,2023-03-25,Mixed Feelings,Curve,8,3,mixed
Mixed Imperial,2023-03-25,Reading 1,BN1,13,9,mixed
Mixed Imperial,2023-03-25,Lemmings 1,Oxford Ultimate,13,10,mixed
Mixed Imperial,2023-03-25,Deep Space,Hooves,7,13,mixed
Mixed Imperial,2023-03-25,GB U24 Mixed,Thundering Herd 1,10,8,mixed
Mixed Imperial,2023-03-25,Mixed Feelings,Sharkbear!,13,1,mixed
Mixed Imperial,2023-03-25,Zoo 1,Guildford,7,2,mixed
Mixed Imperial,2023-03-25,Reading 1,Lemmings 1,12,7,mixed
Mixed Imperial,2023-03-25,Oxford Ultimate,BN1,8,9,mixed
Mixed Imperial,2023-03-25,Purple Cobras,Plymouth Ultimate,13,4,mixed
Mixed Imperial,2023-03-25,Cambridge Ultimate,Brixton,11,6,mixed
Mixed Imperial,2023-03-25,Sharkbear!,Guildford,4,6,mixed
Mixed Imperial,2023-03-25,Curve,Zoo 1,7,3,mixed
Mixed Imperial,2023-03-26,Oxford Ultimate,Mixed Feelings,15,9,mixed
Mixed Imperial,2023-03-26,GB U24 Mixed,Cambridge Ultimate,14,5,mixed
Mixed Imperial,2023-03-26,BN1,Curve,15,4,mixed
Mixed Imperial,2023-03-26,Thundering Herd 1,Purple Cobras,13,7,mixed
Mixed Imperial,2023-03-26,Brixton,Sharkbear!,12,2,mixed
Mixed Imperial,2023-03-26,Zoo 1,Guildford,7,8,mixed
Mixed Imperial,2023-03-26,Hooves,Lemmings 1,15,10,mixed
Mixed Imperial,2023-03-26,Reading 1,Deep Space,13,15,mixed
Mixed Imperial,2023-03-26,Mixed Feelings,Cambridge Ultimate,10,15,mixed
Mixed Imperial,2023-03-26,Purple Cobras,Curve,15,10,mixed
Mixed Imperial,2023-03-26,Brixton,Plymouth Ultimate,7,8,mixed
Mixed Imperial,2023-03-26,Zoo 1,Sharkbear!,7,3,mixed
Mixed Imperial,2023-03-26,Reading 1,Lemmings 1,12,7,mixed
Mixed Imperial,2023-03-26,Hooves,Deep Space,15,13,mixed
Mixed Imperial,2023-03-26,BN1,Thundering Herd 1,10,5,mixed
Mixed Imperial,2023-03-26,GB U24 Mixed,Oxford Ultimate,15,4,mixed
Mixed Imperial,2023-03-26,Guildford,Plymouth Ultimate,8,4,mixed
Mixed Imperial,2023-03-26,Mixed Feelings,Curve,15,3,mixed
Mixed Imperial,2023-03-26,Purple Cobras,Cambridge Ultimate,7,10,mixed
Mixed Imperial,2023-03-26,BN1,GB U24 Mixed,8,11,mixed
Mixed Imperial,2023-03-26,Oxford Ultimate,Thundering Herd 1,12,13,mixed
Mixed Imperial,2023-03-26,Zoo 1,Brixton,3,5,mixed
Mixed Imperial,2023-03-26,Plymouth Ultimate,Sharkbear!,10,3,mixed
Mixed Imperial,2023-03-26,Brixton,Guildford,5,3,mixed
Mixed Imperial,2023-03-26,Zoo 1,Plymouth Ultimate,4,8,mixed
Mixed Imperial,2023-03-26,Guildford,Sharkbear!,8,1,mixed
