Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Mooxed,2023-06-17,Thundering Herd 1,South Wales Storm Mixed,15,2,mixed
Mooxed,2023-06-17,Thundering Herd 2,Norwich Ultimate,8,14,mixed
Mooxed,2023-06-17,Bristol Mixed,Guildford,14,4,mixed
Mooxed,2023-06-17,Brixton Mixed,Zoo 1,6,15,mixed
Mooxed,2023-06-17,Oxford Ultimate Mixed,Mixed Feelings,12,9,mixed
Mooxed,2023-06-17,GB Mixed Masters,Lemmings 2,11,12,mixed
Mooxed,2023-06-17,Flyght Mixed,Purple Cobras,4,11,mixed
Mooxed,2023-06-17,Lemmings 1,South Wales Storm Mixed,15,3,mixed
Mooxed,2023-06-17,Curve,Norwich Ultimate,4,10,mixed
Mooxed,2023-06-17,BN1,Mixed Feelings,15,6,mixed
Mooxed,2023-06-17,Reading 2,Lemmings 2,14,15,mixed
Mooxed,2023-06-17,Birmingham Ultimate,Purple Cobras,5,13,mixed
Mooxed,2023-06-17,Lemmings 1,Thundering Herd 1,15,9,mixed
Mooxed,2023-06-17,Thundering Herd 2,Curve,15,9,mixed
Mooxed,2023-06-17,Zoo 1,Guildford,15,5,mixed
Mooxed,2023-06-17,Bristol Mixed,Brixton Mixed,5,12,mixed
Mooxed,2023-06-17,BN1,Oxford Ultimate Mixed,6,12,mixed
Mooxed,2023-06-17,GB Mixed Masters,Reading 2,14,8,mixed
Mooxed,2023-06-17,Flyght Mixed,Birmingham Ultimate,14,8,mixed
Mooxed,2023-06-17,Birmingham Ultimate,Zoo 1,9,11,mixed
Mooxed,2023-06-17,Oxford Ultimate Mixed,Thundering Herd 1,9,10,mixed
Mooxed,2023-06-17,Purple Cobras,GB Mixed Masters,2,15,mixed
Mooxed,2023-06-17,Lemmings 1,BN1,14,8,mixed
Mooxed,2023-06-17,Lemmings 2,Flyght Mixed,15,10,mixed
Mooxed,2023-06-17,Reading 2,Brixton Mixed,15,7,mixed
Mooxed,2023-06-17,South Wales Storm Mixed,Norwich Ultimate,7,11,mixed
Mooxed,2023-06-17,Curve,Bristol Mixed,4,15,mixed
Mooxed,2023-06-17,Mixed Feelings,Thundering Herd 2,15,5,mixed
Mooxed,2023-06-18,South Wales Storm Mixed,Curve,8,10,mixed
Mooxed,2023-06-18,Birmingham Ultimate,Bristol Mixed,7,9,mixed
Mooxed,2023-06-18,Thundering Herd 2,Guildford,6,13,mixed
Mooxed,2023-06-18,Purple Cobras,Norwich Ultimate,14,5,mixed
Mooxed,2023-06-18,BN1,Zoo 1,12,9,mixed
Mooxed,2023-06-18,Oxford Ultimate Mixed,Reading 2,15,10,mixed
Mooxed,2023-06-18,Flyght Mixed,Mixed Feelings,9,11,mixed
Mooxed,2023-06-18,Curve,Bristol Mixed,6,14,mixed
Mooxed,2023-06-18,Brixton Mixed,Guildford,9,6,mixed
Mooxed,2023-06-18,Lemmings 2,Thundering Herd 1,11,12,mixed
Mooxed,2023-06-18,Lemmings 1,GB Mixed Masters,12,6,mixed
Mooxed,2023-06-18,Zoo 1,Norwich Ultimate,10,9,mixed
Mooxed,2023-06-18,Flyght Mixed,Reading 2,10,11,mixed
Mooxed,2023-06-18,Thundering Herd 2,South Wales Storm Mixed,10,9,mixed
Mooxed,2023-06-18,Oxford Ultimate Mixed,Mixed Feelings,15,7,mixed
Mooxed,2023-06-18,Purple Cobras,BN1,6,11,mixed
Mooxed,2023-06-18,Lemmings 1,Thundering Herd 1,15,8,mixed
Mooxed,2023-06-18,Lemmings 2,GB Mixed Masters,10,9,mixed
Mooxed,2023-06-18,Birmingham Ultimate,Thundering Herd 2,10,6,mixed
Mooxed,2023-06-18,BN1,Oxford Ultimate Mixed,6,13,mixed
Mooxed,2023-06-18,Mixed Feelings,Purple Cobras,11,10,mixed
Mooxed,2023-06-18,Flyght Mixed,Norwich Ultimate,15,6,mixed
Mooxed,2023-06-18,Zoo 1,Reading 2,10,14,mixed
Mooxed,2023-06-18,Bristol Mixed,Brixton Mixed,12,6,mixed
Mooxed,2023-06-18,Guildford,Curve,12,9,mixed
Mooxed,2023-06-18,Birmingham Ultimate,South Wales Storm Mixed,10,4,mixed
