Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Nationals D2,2023-08-27,Fire of London,Flyght Open,13,2,open
Nationals D2,2023-08-27,Manchester Ultimate,Cambridge Ultimate,13,3,open
Nationals D2,2023-08-27,Lemmings,EDI,11,6,open
Nationals D2,2023-08-27,Devon,Steal,10,4,open
Nationals D2,2023-08-27,Fire of London,Manchester Bees,11,5,open
Nationals D2,2023-08-27,Manchester Ultimate,Flyght Open,13,3,open
Nationals D2,2023-08-27,Lemmings,SOLENT,8,9,open
Nationals D2,2023-08-27,Devon,EDI,11,7,open
Nationals D2,2023-08-27,Cambridge Ultimate,Manchester Bees,10,8,open
Nationals D2,2023-08-27,Steal,SOLENT,12,9,open
Nationals D2,2023-08-27,Devon,Lemmings,8,9,open
Nationals D2,2023-08-27,Manchester Ultimate,Fire of London,10,11,open
Nationals D2,2023-08-27,Steal,EDI,11,12,open
Nationals D2,2023-08-27,Devon,SOLENT,10,5,open
Nationals D2,2023-08-27,Cambridge Ultimate,Flyght Open,11,4,open
Nationals D2,2023-08-27,Manchester Ultimate,Manchester Bees,11,4,open
Nationals D2,2023-08-27,Lemmings,Steal,12,9,open
Nationals D2,2023-08-27,SOLENT,EDI,11,8,open
Nationals D2,2023-08-27,Fire of London,Cambridge Ultimate,12,9,open
Nationals D2,2023-08-27,Manchester Bees,Flyght Open,9,7,open
Nationals D2,2023-08-28,Manchester Bees,Steal,7,12,open
Nationals D2,2023-08-28,Manchester Ultimate,SOLENT,15,5,open
Nationals D2,2023-08-28,Devon,Cambridge Ultimate,15,10,open
Nationals D2,2023-08-28,EDI,Flyght Open,15,5,open
Nationals D2,2023-08-28,SOLENT,Steal,8,12,open
Nationals D2,2023-08-28,Cambridge Ultimate,EDI,8,14,open
Nationals D2,2023-08-28,Fire of London,Devon,10,11,open
Nationals D2,2023-08-28,Lemmings,Manchester Ultimate,11,6,open
Nationals D2,2023-08-28,Manchester Bees,Flyght Open,13,10,open
Nationals D2,2023-08-28,EDI,Steal,14,8,open
Nationals D2,2023-08-28,Devon,Lemmings,12,9,open
Nationals D2,2023-08-28,Manchester Ultimate,Fire of London,7,9,open
Nationals D2,2023-08-28,Cambridge Ultimate,SOLENT,6,15,open
