Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Nationals,2023-08-27,SMOG 2,Oxford Ultimate,13,7,mixed
Nationals,2023-08-27,Clapham Ultimate,XVI,15,10,open
Nationals,2023-08-27,Deep Space,BN1,15,5,mixed
Nationals,2023-08-27,Reading,Nemesis,15,6,mixed
Nationals,2023-08-27,Ranelagh,Dublin Frisbee 7s,15,6,open
Nationals,2023-08-27,Lemmings 1,Zoo,15,2,mixed
Nationals,2023-08-27,Alba,Newcastle Brown,15,4,open
Nationals,2023-08-27,Chevron Action Flash,Ka-Pow!,15,8,open
Nationals,2023-08-27,Bristol,Chameleons,13,2,women
Nationals,2023-08-27,LMU,Iceni,4,9,women
Nationals,2023-08-27,SYC,Horizon,9,6,women
Nationals,2023-08-27,Thundering Herd,Nemesis,14,9,mixed
Nationals,2023-08-27,PELT Ultimate,XVI,12,15,open
Nationals,2023-08-27,BN1,Flyght Mixed,15,10,mixed
Nationals,2023-08-27,SMOG 1,Oxford Ultimate,15,7,mixed
Nationals,2023-08-27,Bristol Open,Dublin Frisbee 7s,15,3,open
Nationals,2023-08-27,Lemmings 1,Glasgow Mixed,12,7,mixed
Nationals,2023-08-27,SMASH'D,Newcastle Brown,15,6,open
Nationals,2023-08-27,Reading Open,Ka-Pow!,14,13,open
Nationals,2023-08-27,Bristol,Flame,9,8,women
Nationals,2023-08-27,Gravity,Spice,4,9,women
Nationals,2023-08-27,SYC,SCRAM,9,7,women
Nationals,2023-08-27,Ranelagh,Bristol Open,14,15,open
Nationals,2023-08-27,Clapham Ultimate,PELT Ultimate,15,3,open
Nationals,2023-08-27,Deep Space,Flyght Mixed,15,2,mixed
Nationals,2023-08-27,SMOG 1,SMOG 2,15,9,mixed
Nationals,2023-08-27,Reading,Thundering Herd,15,5,mixed
Nationals,2023-08-27,Glasgow Mixed,Zoo,15,6,mixed
Nationals,2023-08-27,Alba,SMASH'D,15,10,open
Nationals,2023-08-27,Chevron Action Flash,Reading Open,15,3,open
