Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Regionals North,2023-07-29,Lemmings 1,Flyght Club 1,14,3,mixed
Regionals North,2023-07-29,Glasgow Mixed 1,Birmingham Ultimate,15,6,mixed
Regionals North,2023-07-29,Chevron Action Flash,Steal,15,3,open
Regionals North,2023-07-29,Cambridge Ultimate,Yorkshire Ultimate,9,14,open
Regionals North,2023-07-29,SMOG,Nemesis,15,3,mixed
Regionals North,2023-07-29,SMOG 2,Black Sheep Mixed,15,2,mixed
Regionals North,2023-07-29,Newcastle Brown,Flyght Open 1,15,1,open
Regionals North,2023-07-29,Steal,Yorkshire Ultimate,5,10,open
Regionals North,2023-07-29,Chevron Action Flash,Cambridge Ultimate,15,6,open
Regionals North,2023-07-29,Manchester Ultimate,EDI,12,10,open
Regionals North,2023-07-29,Lemmings 1,Manchester Bees,15,4,open
Regionals North,2023-07-29,Alba,Flyght Open 1,15,2,open
Regionals North,2023-07-29,SMOG 2,Nemesis,12,7,mixed
Regionals North,2023-07-29,SMOG,Black Sheep Mixed,15,3,mixed
Regionals North,2023-07-29,Lemmings 1,Birmingham Ultimate,15,6,mixed
Regionals North,2023-07-29,Glasgow Mixed 1,Flyght Club 1,13,5,mixed
Regionals North,2023-07-29,Alba,Newcastle Brown,15,6,open
Regionals North,2023-07-29,Lemmings 1,EDI,12,6,open
Regionals North,2023-07-29,Manchester Ultimate,Manchester Bees,15,7,open
Regionals North,2023-07-29,Cambridge Ultimate,Steal,7,15,open
Regionals North,2023-07-29,Chevron Action Flash,Yorkshire Ultimate,15,4,open
Regionals North,2023-07-29,SMOG,SMOG 2,15,2,mixed
Regionals North,2023-07-29,Manchester Ultimate,Lemmings 1,15,6,open
Regionals North,2023-07-29,EDI,Manchester Bees,12,11,open
Regionals North,2023-07-29,Nemesis,Black Sheep Mixed,15,4,mixed
Regionals North,2023-07-29,Lemmings 1,Glasgow Mixed 1,12,3,mixed
Regionals North,2023-07-29,Flyght Club 1,Birmingham Ultimate,10,8,mixed
Regionals North,2023-07-30,Manchester Ultimate,Yorkshire Ultimate,13,4,open
Regionals North,2023-07-30,Lemmings 1,Newcastle Brown,6,14,open
Regionals North,2023-07-30,Flyght Club 1,Black Sheep Mixed,12,6,mixed
Regionals North,2023-07-30,Nemesis,Birmingham Ultimate,10,8,mixed
Regionals North,2023-07-30,Steal,Cambridge Ultimate,6,9,open
Regionals North,2023-07-30,Flyght Open 1,EDI,5,12,open
Regionals North,2023-07-30,Alba,Yorkshire Ultimate,15,6,open
Regionals North,2023-07-30,Chevron Action Flash,Newcastle Brown,15,10,open
Regionals North,2023-07-30,SMOG,Glasgow Mixed 1,15,4,mixed
Regionals North,2023-07-30,Lemmings 1,SMOG 2,12,8,mixed
Regionals North,2023-07-30,Flyght Open 1,Cambridge Ultimate,3,13,open
Regionals North,2023-07-30,EDI,Manchester Bees,9,10,open
Regionals North,2023-07-30,Alba,Manchester Ultimate,15,7,open
Regionals North,2023-07-30,Chevron Action Flash,Lemmings 1,15,4,open
Regionals North,2023-07-30,Flyght Club 1,Nemesis,5,14,mixed
Regionals North,2023-07-30,Birmingham Ultimate,Black Sheep Mixed,11,9,mixed
Regionals North,2023-07-30,Steal,Manchester Bees,11,6,open
Regionals North,2023-07-30,SMOG,Lemmings 1,11,6,mixed
Regionals North,2023-07-30,SMOG 2,Glasgow Mixed 1,10,11,mixed
Regionals North,2023-07-30,EDI,Cambridge Ultimate,10,9,open
Regionals North,2023-07-30,Alba,Chevron Action Flash,8,14,open
Regionals North,2023-07-30,Manchester Ultimate,Newcastle Brown,12,14,open
Regionals North,2023-07-30,Yorkshire Ultimate,Lemmings 1,1,0,open
Regionals North,2023-07-30,Manchester Bees,Cambridge Ultimate,8,11,open
Regionals North,2023-07-30,Flyght Open 1,Steal,3,13,open
Regionals North,2023-07-30,Steal,EDI,10,8,open
Regionals North,2023-07-30,Flyght Open 1,Manchester Bees,4,12,open
