Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Regionals South,2023-07-29,Oxford Ultimate,Brixton,13,3,mixed
Regionals South,2023-07-29,Reading Ultimate,Purple Cobras,13,4,mixed
Regionals South,2023-07-29,Bristol Open,Zimmer,13,3,open
Regionals South,2023-07-29,Devon,Reading Open,10,11,open
Regionals South,2023-07-29,Deep Space,BN1,13,1,mixed
Regionals South,2023-07-29,Thundering Herd 1,Guildford,13,2,mixed
Regionals South,2023-07-29,Reading Ultimate,Brixton,13,2,mixed
Regionals South,2023-07-29,Purple Cobras,Bristol Mixed,8,6,mixed
Regionals South,2023-07-29,Ka-Pow!,Zimmer,13,7,open
Regionals South,2023-07-29,Bristol Open,Devon,13,7,open
Regionals South,2023-07-29,BN1,Zoo 1,10,8,mixed
Regionals South,2023-07-29,Clapham Ultimate,Fire of London,13,2,open
Regionals South,2023-07-29,SMASH'D,SOLENT,15,8,open
Regionals South,2023-07-29,Oxford Ultimate,Bristol Mixed,12,3,mixed
Regionals South,2023-07-29,Ka-Pow!,Reading Open,7,10,open
Regionals South,2023-07-29,Deep Space,Guildford,13,0,mixed
Regionals South,2023-07-29,Thundering Herd 1,Zoo 1,10,8,mixed
Regionals South,2023-07-29,Fire of London,SOLENT,12,11,open
Regionals South,2023-07-29,Clapham Ultimate,SMASH'D,15,6,open
Regionals South,2023-07-29,Purple Cobras,Brixton,13,3,mixed
Regionals South,2023-07-29,Reading Ultimate,Oxford Ultimate,13,7,mixed
Regionals South,2023-07-29,Devon,Zimmer,11,10,open
Regionals South,2023-07-29,BN1,Guildford,13,3,mixed
Regionals South,2023-07-29,Clapham Ultimate,SOLENT,15,7,open
Regionals South,2023-07-29,SMASH'D,Fire of London,13,7,open
Regionals South,2023-07-29,Bristol Mixed,Brixton,8,7,mixed
Regionals South,2023-07-29,Bristol Open,Ka-Pow!,12,5,open
Regionals South,2023-07-29,Reading Open,Zimmer,12,9,open
Regionals South,2023-07-29,Deep Space,Zoo 1,13,6,mixed
Regionals South,2023-07-29,Thundering Herd 1,BN1,3,7,mixed
Regionals South,2023-07-29,Reading Ultimate,Bristol Mixed,13,6,mixed
Regionals South,2023-07-29,Ka-Pow!,Devon,8,7,open
Regionals South,2023-07-29,Bristol Open,Reading Open,12,7,open
Regionals South,2023-07-29,Oxford Ultimate,Purple Cobras,11,7,mixed
Regionals South,2023-07-29,Deep Space,Thundering Herd 1,13,5,mixed
Regionals South,2023-07-29,Zoo 1,Guildford,11,2,mixed
Regionals South,2023-07-30,Clapham Ultimate,Reading Open,15,4,open
Regionals South,2023-07-30,Fire of London,Devon,11,14,open
Regionals South,2023-07-30,Zoo 1,Brixton,7,5,mixed
Regionals South,2023-07-30,Bristol Mixed,Guildford,13,5,mixed
Regionals South,2023-07-30,BN1,Purple Cobras,15,4,mixed
Regionals South,2023-07-30,Oxford Ultimate,Thundering Herd 1,6,10,mixed
Regionals South,2023-07-30,Ka-Pow!,SOLENT,12,4,open
Regionals South,2023-07-30,Bristol Open,SMASH'D,12,10,open
Regionals South,2023-07-30,Reading Open,Devon,10,7,open
Regionals South,2023-07-30,Fire of London,Zimmer,13,12,open
Regionals South,2023-07-30,Reading Ultimate,BN1,15,8,mixed
Regionals South,2023-07-30,Deep Space,Thundering Herd 1,15,7,mixed
Regionals South,2023-07-30,SMASH'D,Ka-Pow!,12,10,open
Regionals South,2023-07-30,Clapham Ultimate,Bristol Open,15,10,open
Regionals South,2023-07-30,SOLENT,Zimmer,10,13,open
Regionals South,2023-07-30,Oxford Ultimate,Bristol Mixed,15,1,mixed
Regionals South,2023-07-30,Purple Cobras,Zoo 1,7,8,mixed
Regionals South,2023-07-30,Brixton,Guildford,10,9,mixed
Regionals South,2023-07-30,Devon,Ka-Pow!,8,10,open
Regionals South,2023-07-30,SOLENT,Fire of London,8,15,open
Regionals South,2023-07-30,SMASH'D,Reading Open,15,13,open
Regionals South,2023-07-30,Reading Ultimate,Deep Space,14,11,mixed
Regionals South,2023-07-30,Bristol Mixed,Purple Cobras,4,9,mixed
Regionals South,2023-07-30,Zoo 1,Oxford Ultimate,9,14,mixed
Regionals South,2023-07-30,Thundering Herd 1,BN1,7,14,mixed
