Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Spring Invite,2023-04-22,Oxford Ultimate,GB U20 Women Blue,6,8,women
Spring Invite,2023-04-22,Brixton,GB U20 Women Red,6,9,women
Spring Invite,2023-04-22,Iceni,SY-Sea,15,5,women
Spring Invite,2023-04-22,LMU,Reading 1,12,15,women
Spring Invite,2023-04-22,Oxford Ultimate,Chameleons,8,5,women
Spring Invite,2023-04-22,Brixton,GB U20 Women Blue,6,9,women
Spring Invite,2023-04-22,SY-See,Horizon,14,7,women
Spring Invite,2023-04-22,Bristol,SMOG Women,14,8,women
Spring Invite,2023-04-22,Spice Ultimate,Brighton Ultimate,15,1,women
Spring Invite,2023-04-22,Dublin Gravity,SCRAM,13,5,women
Spring Invite,2023-04-22,GB U20 Women Red,Chameleons,10,4,women
Spring Invite,2023-04-22,Bristol,SY-See,14,8,women
Spring Invite,2023-04-22,SMOG Women,Horizon,14,8,women
Spring Invite,2023-04-22,LMU,SY-Sea,15,6,women
Spring Invite,2023-04-22,Iceni,Reading 1,15,11,women
Spring Invite,2023-04-22,Brixton,Oxford Ultimate,9,7,women
Spring Invite,2023-04-22,Dublin Gravity,Brighton Ultimate,15,6,women
Spring Invite,2023-04-22,Spice Ultimate,SCRAM,15,6,women
Spring Invite,2023-04-22,LMU,Iceni,15,8,women
Spring Invite,2023-04-22,Reading 1,SY-Sea,15,6,women
Spring Invite,2023-04-22,Brixton,Chameleons,12,3,women
Spring Invite,2023-04-22,GB U20 Women Red,GB U20 Women Blue,1,1,women
Spring Invite,2023-04-22,Dublin Gravity,Spice Ultimate,15,6,women
Spring Invite,2023-04-22,SCRAM,Brighton Ultimate,15,6,women
Spring Invite,2023-04-22,Bristol,Horizon,15,2,women
Spring Invite,2023-04-22,SY-See,SMOG Women,10,13,women
Spring Invite,2023-04-22,Chameleons,GB U20 Women Blue,0,13,women
Spring Invite,2023-04-22,Oxford Ultimate,GB U20 Women Red,3,11,women
Spring Invite,2023-04-23,Horizon,Chameleons,15,1,women
Spring Invite,2023-04-23,GB U20 Women Blue,GB U20 Women Red,5,4,women
Spring Invite,2023-04-23,SY-Sea,Oxford Ultimate,15,0,women
Spring Invite,2023-04-23,Brighton Ultimate,Brixton,5,12,women
Spring Invite,2023-04-23,LMU,SMOG Women,15,10,women
Spring Invite,2023-04-23,Dublin Gravity,Reading 1,13,10,women
Spring Invite,2023-04-23,Horizon,GB U20 Women Blue,15,4,women
Spring Invite,2023-04-23,SY-Sea,Brixton,14,9,women
Spring Invite,2023-04-23,Iceni,SY-See,15,3,women
Spring Invite,2023-04-23,Spice Ultimate,SMOG Women,13,10,women
Spring Invite,2023-04-23,Bristol,Reading 1,15,10,women
Spring Invite,2023-04-23,Brighton Ultimate,Oxford Ultimate,15,6,women
Spring Invite,2023-04-23,GB U20 Women Red,Chameleons,15,7,women
Spring Invite,2023-04-23,SCRAM,SY-See,7,12,women
Spring Invite,2023-04-23,LMU,Spice Ultimate,13,10,women
Spring Invite,2023-04-23,Dublin Gravity,Bristol,10,9,women
Spring Invite,2023-04-23,Brixton,GB U20 Women Blue,0,1,women
Spring Invite,2023-04-23,Horizon,SY-Sea,15,12,women
Spring Invite,2023-04-23,Iceni,SCRAM,15,6,women
Spring Invite,2023-04-23,SMOG Women,Reading 1,12,13,women
Spring Invite,2023-04-23,GB U20 Women Red,Brighton Ultimate,7,13,women
Spring Invite,2023-04-23,Oxford Ultimate,Chameleons,15,7,women
Spring Invite,2023-04-23,LMU,Dublin Gravity,10,14,women
Spring Invite,2023-04-23,Bristol,Spice Ultimate,14,10,women
