Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Windfarm,2023-06-03,GB Women,GB U20 Women,15,1,women
Windfarm,2023-06-03,GB Womens Masters,Horizon,11,8,women
Windfarm,2023-06-03,Bristol Women,Lemmings 1,5,10,women
Windfarm,2023-06-03,Spice,Ireland U24 Women,13,8,women
Windfarm,2023-06-03,SOLENT 2,Manchester Bees,15,14,open
Windfarm,2023-06-03,St Albans Open,Brixton Open,10,13,open
Windfarm,2023-06-03,Curve Open,Flyght Open 2,12,14,open
Windfarm,2023-06-03,Steal Open,Guildford Ultimate Open,15,3,open
Windfarm,2023-06-03,Thundering Herd,Red Open,12,7,open
Windfarm,2023-06-03,Birmingham Ultimate Open,Bristol Open 2,4,13,open
Windfarm,2023-06-03,Brighton Ultimate Women,Yorkshire Women,12,2,women
Windfarm,2023-06-03,Guildford Ultimate Women,Flyght Women,5,10,women
Windfarm,2023-06-03,Alba,GB U24 Open,6,13,open
Windfarm,2023-06-03,Bristol Open,Ka-Pow!,15,12,open
Windfarm,2023-06-03,SMASH'D,Manchester Ultimate,15,5,open
Windfarm,2023-06-03,Tribe Open,Flyght Open 1,15,6,open
Windfarm,2023-06-03,Fire of London,SOLENT 1,11,9,open
Windfarm,2023-06-03,Edinburgh Ultimate,Lemmings 2,9,15,open
Windfarm,2023-06-03,Ireland U24 Open,Newcastle Brown,14,11,open
Windfarm,2023-06-03,Clapham,GB Open Masters,15,9,open
Windfarm,2023-06-03,Ice Age,GB U20 Women,15,0,women
Windfarm,2023-06-03,SMOG Women,Horizon,12,7,women
Windfarm,2023-06-03,SYC,Lemmings 1,11,9,women
Windfarm,2023-06-03,GB U24 Women,Ireland U24 Women,11,5,women
Windfarm,2023-06-03,St Albans Open,Manchester Bees,6,15,open
Windfarm,2023-06-03,SOLENT 2,Brixton Open,11,5,open
Windfarm,2023-06-03,Steal Open,Flyght Open 2,15,7,open
Windfarm,2023-06-03,Curve Open,Guildford Ultimate Open,12,7,open
Windfarm,2023-06-03,Birmingham Ultimate Open,Red Open,10,7,open
Windfarm,2023-06-03,GB U20 Open,Newcastle Brown 2,15,4,open
Windfarm,2023-06-03,Oxford Ultimate Open,Plymouth Ultimate Open,15,5,open
Windfarm,2023-06-03,Thundering Herd,Bristol Open 2,8,11,open
Windfarm,2023-06-03,Brighton Ultimate Women,Chameleons,10,3,women
Windfarm,2023-06-03,Guildford Ultimate Women,Yorkshire Women,10,4,women
Windfarm,2023-06-03,Lemmings 1,GB U24 Open,10,15,open
Windfarm,2023-06-03,SMOG Men,Ka-Pow!,15,11,open
Windfarm,2023-06-03,PELT Ultimate,Manchester Ultimate,15,10,open
Windfarm,2023-06-03,Brighton Ultimate Open,Flyght Open 1,10,12,open
Windfarm,2023-06-03,Glasgow Open,SOLENT 1,12,11,open
Windfarm,2023-06-03,Cambridge Ultimate,Lemmings 2,12,11,open
Windfarm,2023-06-03,LLLeeds Open 1,Newcastle Brown,6,15,open
Windfarm,2023-06-03,Reading Open,GB Open Masters,4,15,open
Windfarm,2023-06-03,GB Women,Ice Age,14,8,women
Windfarm,2023-06-03,GB Womens Masters,SMOG Women,15,7,women
Windfarm,2023-06-03,Bristol Women,SYC,9,7,women
Windfarm,2023-06-03,Spice,GB U24 Women,7,13,women
Windfarm,2023-06-03,Oxford Ultimate Open,Newcastle Brown 2,15,1,open
Windfarm,2023-06-03,GB U20 Open,Plymouth Ultimate Open,15,5,open
Windfarm,2023-06-03,Flyght Women,Chameleons,10,6,women
Windfarm,2023-06-03,Alba,Lemmings 1,15,6,open
Windfarm,2023-06-03,Bristol Open,SMOG Men,12,8,open
Windfarm,2023-06-03,SMASH'D,PELT Ultimate,10,13,open
Windfarm,2023-06-03,Tribe Open,Brighton Ultimate Open,15,10,open
Windfarm,2023-06-03,Fire of London,Glasgow Open,10,9,open
Windfarm,2023-06-03,Edinburgh Ultimate,Cambridge Ultimate,9,15,open
Windfarm,2023-06-03,Ireland U24 Open,LLLeeds Open 1,13,9,open
Windfarm,2023-06-03,Clapham,Reading Open,15,10,open
Windfarm,2023-06-03,Guildford Ultimate Women,Brighton Ultimate Women,6,8,women
Windfarm,2023-06-03,SOLENT 2,St Albans Open,15,6,open
Windfarm,2023-06-03,Manchester Bees,Brixton Open,8,14,open
Windfarm,2023-06-03,Steal Open,Curve Open,15,3,open
Windfarm,2023-06-03,Guildford Ultimate Open,Flyght Open 2,5,12,open
Windfarm,2023-06-03,Thundering Herd,Birmingham Ultimate Open,14,4,open
Windfarm,2023-06-03,Bristol Open 2,Red Open,15,5,open
Windfarm,2023-06-03,Bristol Women,Horizon,11,6,women
Windfarm,2023-06-03,Oxford Ultimate Open,GB U20 Open,11,9,open
Windfarm,2023-06-03,Plymouth Ultimate Open,Newcastle Brown 2,11,10,open
Windfarm,2023-06-03,Lemmings 1,Ice Age,5,15,women
Windfarm,2023-06-03,GB U24 Women,SMOG Women,9,12,women
Windfarm,2023-06-03,GB Women,SYC,13,3,women
Windfarm,2023-06-03,GB Womens Masters,Spice,15,6,women
Windfarm,2023-06-03,Ireland U24 Women,GB U20 Women,12,5,women
Windfarm,2023-06-03,Guildford Ultimate Women,Chameleons,7,9,women
Windfarm,2023-06-03,Flyght Women,Yorkshire Women,13,0,women
Windfarm,2023-06-03,Clapham,SMASH'D,15,8,open
Windfarm,2023-06-03,Bristol Open,Alba,15,6,open
Windfarm,2023-06-03,GB U24 Open,SMOG Men,15,8,open
Windfarm,2023-06-03,PELT Ultimate,GB Open Masters,9,13,open
Windfarm,2023-06-03,Ka-Pow!,Ireland U24 Open,8,11,open
Windfarm,2023-06-03,Reading Open,Tribe Open,12,15,open
Windfarm,2023-06-03,Lemmings 1,Fire of London,15,6,open
Windfarm,2023-06-03,Manchester Ultimate,Cambridge Ultimate,14,12,open
Windfarm,2023-06-03,Flyght Open 1,Edinburgh Ultimate,10,12,open
Windfarm,2023-06-03,Glasgow Open,LLLeeds Open 1,11,15,open
Windfarm,2023-06-03,Newcastle Brown,SOLENT 1,12,8,open
Windfarm,2023-06-03,Lemmings 2,Brighton Ultimate Open,12,10,open
Windfarm,2023-06-03,Chameleons,Yorkshire Women,8,3,women
Windfarm,2023-06-03,Brighton Ultimate Women,Flyght Women,7,5,women
Windfarm,2023-06-04,Reading Open,LLLeeds Open 1,13,12,open
Windfarm,2023-06-04,Ka-Pow!,Lemmings 2,15,9,open
Windfarm,2023-06-04,Fire of London,Edinburgh Ultimate,11,6,open
Windfarm,2023-06-04,Cambridge Ultimate,Newcastle Brown,10,15,open
Windfarm,2023-06-04,Glasgow Open,Bristol Open 2,15,7,open
Windfarm,2023-06-04,Brighton Ultimate Open,Steal Open,14,15,open
Windfarm,2023-06-04,Flyght Open 1,Oxford Ultimate Open,14,8,open
Windfarm,2023-06-04,SOLENT 1,SOLENT 2,10,12,open
Windfarm,2023-06-04,SMOG Men,Manchester Ultimate,12,11,open
Windfarm,2023-06-04,PELT Ultimate,Lemmings 1,15,7,open
Windfarm,2023-06-04,Alba,Tribe Open,15,6,open
Windfarm,2023-06-04,SMASH'D,Ireland U24 Open,13,9,open
Windfarm,2023-06-04,Thundering Herd,Plymouth Ultimate Open,13,6,open
Windfarm,2023-06-04,GB U20 Open,Birmingham Ultimate Open,15,5,open
