Team,Aliases
Bristol Open,"Bristol"
Ka-Pow!,
Reading 1,
Devon,
Lemmings 1,
Fire of London,
Manchester Ultimate,
SOLENT 1,"SOLENT Open 1,SOLENT Open,"
LLLeeds 1,"LLLeeds Open 1,LLLeeds"
Brighton Ultimate,"Brighton Ultimate Open"
Cambridge Ultimate,"Cambridge Ultimate Open"
SOLENT 2,
Zimmer,
Brizzle,
DED,
Bristol Open 2,
Brixton,
GB Open Masters,
Frothing,
SMASH'D,
Ranelagh 1,"Ranelagh"
XVI,
Alba,
SMOG Open,"SMOG"
Rebel Ultimate,
Newcastle Brown,
GB U20 Open,
Reading 2,
Flyght Open,"Flyght Open 1"
Sheffield Steal 1,"Sheffield Steal Open,Sheffield Steal"
Lemmings 2,
Birmingham Ultimate,
Curve,
Red Leicester,
South Wales Storm,
EDI,
Clapham Ultimate,"Clapham"
Chevron Action Flash,
Simmer,
