Team,Aliases
Lemmings 1,
GB Mixed Masters,
Thundering Herd 1,
Oxford Ultimate,Oxford Ultimate Mixed
SOLENT Mixed,
Flyght Mixed,
Contested 1st,
Bristol Mixed,
Sheffield Steal,
Newcastle Brown,
Reading 2,
Brixton,Brixton Mixed
LLLeeds Mixed,
Thundering Herd 2,
GUXYZ,
Cambridge Ultimate Mixed 1,
Purple Cobras,Purple Cobras Mixed
South Wales Storm,South Wales Storm Mixed
Curve,
Birmingham Ultimate,
Black Sheep Ultimate,Black Sheep Mixed
Deep Space,
Deep Space Club,
Reading 1,
GB U24 Mixed,
Tim Tam Slam,
BN1,
Curve Vector,
Zoo,
Epsom Ultimate Mixed,
Curve Trajectory,
