Team,Tournament
Lemmings 1,Uni Fans 2025
GB Mixed Masters,Uni Fans 2025
Thundering Herd 1,Uni Fans 2025
Oxford Ultimate,Uni Fans 2025
SOLENT Mixed,Uni Fans 2025
Flyght Mixed,Uni Fans 2025
Contested 1st,Uni Fans 2025
Bristol Mixed,Uni Fans 2025
Sheffield Steal,Uni Fans 2025
Newcastle Brown,Uni Fans 2025
Reading 2,Uni Fans 2025
Brixton,Uni Fans 2025
LLLeeds Mixed,Uni Fans 2025
Thundering Herd 2,Uni Fans 2025
GUXYZ,Uni Fans 2025
Cambridge Ultimate Mixed 1,Uni Fans 2025
Purple Cobras,Uni Fans 2025
South Wales Storm,Uni Fans 2025
Curve,Uni Fans 2025
Birmingham Ultimate,Uni Fans 2025
Black Sheep Ultimate,Uni Fans 2025
Deep Space,Reading X 2025
Deep Space Club,Reading X 2025
Reading 1,Reading X 2025
GB U24 Mixed,Reading X 2025
Newcastle Brown,Reading X 2025
Tim Tam Slam,Reading X 2025
Lemmings 1,Reading X 2025
BN1,Reading X 2025
Oxford Ultimate Mixed,Reading X 2025
Bristol Mixed,Reading X 2025
Reading 2,Reading X 2025
Flyght Mixed,Reading X 2025
Purple Cobras Mixed,Reading X 2025
SOLENT Mixed,Reading X 2025
Contested 1st,Reading X 2025
Brixton Mixed,Reading X 2025
South Wales Storm Mixed,Reading X 2025
Cambridge Ultimate Mixed 1,Reading X 2025
Curve Vector,Reading X 2025
Thundering Herd 2,Reading X 2025
Black Sheep Mixed,Reading X 2025
Zoo,Reading X 2025
Epsom Ultimate Mixed,Reading X 2025
Curve Trajectory,Reading X 2025
