Year,Calendar_Week,Date_Start,Date_End,N_Tournaments,N_Teams_EUF,N_Teams_All,N_Games,N_Tournaments_Cum,N_Teams_EUF_Cum,N_Teams_All_Cum,N_Games_Cum,N_Components,N_Components_All,Max_Component_Size
2023,12,2023-03-20,2023-03-26,1,17,17,54,1,17,17,54,1,40,17
2023,13,2023-03-27,2023-04-02,0,0,0,0,1,17,17,54,1,40,17
2023,14,2023-04-03,2023-04-09,0,0,0,0,1,17,17,54,1,40,17
2023,15,2023-04-10,2023-04-16,0,0,0,0,1,17,17,54,1,40,17
2023,16,2023-04-17,2023-04-23,0,0,0,0,1,17,17,54,1,40,17
2023,17,2023-04-24,2023-04-30,0,0,0,0,1,17,17,54,1,40,17
2023,18,2023-05-01,2023-05-07,0,0,0,0,1,17,17,54,1,40,17
2023,19,2023-05-08,2023-05-14,0,0,0,0,1,17,17,54,1,40,17
2023,20,2023-05-15,2023-05-21,0,0,0,0,1,17,17,54,1,40,17
2023,21,2023-05-22,2023-05-28,0,0,0,0,1,17,17,54,1,40,17
2023,22,2023-05-29,2023-06-04,0,0,0,0,1,17,17,54,1,40,17
2023,23,2023-06-05,2023-06-11,0,0,0,0,1,17,17,54,1,40,17
2023,24,2023-06-12,2023-06-18,2,28,28,80,3,37,37,134,2,21,28
2023,25,2023-06-19,2023-06-25,0,0,0,0,3,37,37,134,2,21,28
2023,26,2023-06-26,2023-07-02,0,0,0,0,3,37,37,134,2,21,28
2023,27,2023-07-03,2023-07-09,0,0,0,0,3,37,37,134,2,21,28
2023,28,2023-07-10,2023-07-16,1,30,30,85,4,50,50,219,1,7,50
2023,29,2023-07-17,2023-07-23,0,0,0,0,4,50,50,219,1,7,50
2023,30,2023-07-24,2023-07-30,2,18,18,53,6,54,54,272,1,3,54
2023,31,2023-07-31,2023-08-06,0,0,0,0,6,54,54,272,1,3,54
2023,32,2023-08-07,2023-08-13,0,0,0,0,6,54,54,272,1,3,54
2023,33,2023-08-14,2023-08-20,0,0,0,0,6,54,54,272,1,3,54
2023,34,2023-08-21,2023-08-27,1,12,12,18,7,56,56,290,1,1,56
