Team,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
SMOG,1,5,5,0,1.0,0.510925985778927,71,18,10.6,1.0,37,0
SLAB,1,6,6,0,1.0,0.5238562091503268,86,29,9.5,1.0,39,0
Reading Ultimate,1,6,6,0,1.0,0.5370159080685396,81,38,7.166666666666667,1.0,39,0
Hooves,1,5,5,0,1.0,0.7033411033411033,65,40,5.0,1.0,30,0
SMOG 1,2,11,10,1,0.9090909090909091,0.5462041746132655,145,89,5.090909090909091,1.0,38,1
Deep Space,4,22,18,4,0.8181818181818182,0.5879359626597875,275,153,5.545454545454546,1.0,51,1
Contested 1,1,5,4,1,0.8,0.64,50,49,0.2,1.0,33,0
LLLeeds Mixed 1,1,5,4,1,0.8,0.5408187134502924,54,36,3.6,1.0,31,0
Reading 1,1,5,4,1,0.8,0.6646620046620046,63,47,3.2,1.0,36,0
Lemmings 1,5,26,20,6,0.7692307692307693,0.5600475912975913,306,206,3.8461538461538463,1.0,44,1
GB U24 Mixed,1,6,4,2,0.6666666666666666,0.6493265993265993,62,48,2.3333333333333335,1.0,30,0
Reading 2,2,12,8,4,0.6666666666666666,0.4525425826896415,147,113,2.8333333333333335,1.0,39,1
Exe and the City,1,6,4,2,0.6666666666666666,0.6487560319797162,73,54,3.1666666666666665,1.0,41,0
LLLeeds 1,1,6,4,2,0.6666666666666666,0.34687208216619975,72,37,5.833333333333333,1.0,23,0
Contested 1st,1,6,4,2,0.6666666666666666,0.5254435107376284,62,51,1.8333333333333333,1.0,31,0
Cambridge Ultimate 1,1,6,4,2,0.6666666666666666,0.5975864413364413,62,57,0.8333333333333334,1.0,30,0
Cambridge Ultimate,1,6,4,2,0.6666666666666666,0.5010282115545274,58,46,2.0,1.0,27,0
Glasgow Mixed,3,15,10,5,0.6666666666666666,0.46677514006461374,178,120,3.8666666666666667,1.0,49,1
Lemmings 2,2,11,7,4,0.6363636363636364,0.5602528237625338,128,114,1.2727272727272727,1.0,43,1
Newcastle Brown,2,10,6,4,0.6,0.5013617376775271,96,97,-0.1,1.0,44,1
Reading,1,5,3,2,0.6,0.6072402597402597,64,43,4.2,1.0,36,0
Glasgow Mixed 1,1,5,3,2,0.6,0.5758916083916084,46,48,-0.4,1.0,29,0
Sheffield Steal Mixed,1,5,3,2,0.6,0.5629131652661064,49,51,-0.4,1.0,37,0
Oxford Ultimate Mixed,2,12,7,5,0.5833333333333334,0.5342220705707548,123,118,0.4166666666666667,1.0,43,1
Nemesis,4,21,12,9,0.5714285714285714,0.4423255665902725,209,196,0.6190476190476191,1.0,51,1
Purple Cobras,3,19,10,9,0.5263157894736842,0.4822213019540704,169,155,0.7368421052631579,1.0,48,1
Bristol Mixed,3,19,10,9,0.5263157894736842,0.47760996991891563,156,162,-0.3157894736842105,1.0,46,1
Norwich Ultimate,1,6,3,3,0.5,0.30231624813668156,55,58,-0.5,1.0,36,0
Oxford Ultimate,3,18,9,9,0.5,0.5315352482341646,191,168,1.2777777777777777,1.0,53,1
GB Mixed Masters,2,10,5,5,0.5,0.5970837933995828,108,81,2.7,1.0,45,1
Glasgow Mixed 2,1,6,3,3,0.5,0.3746498599439776,45,56,-1.8333333333333333,1.0,23,0
Red Mixed,1,6,3,3,0.5,0.4623691581895916,47,71,-4.0,1.0,37,0
Mixed Feelings,3,19,9,10,0.47368421052631576,0.4754061718702422,181,186,-0.2631578947368421,1.0,48,1
BN1,5,30,14,16,0.4666666666666667,0.558692213073018,281,288,-0.23333333333333334,1.0,53,1
Thundering Herd 1,3,18,8,10,0.4444444444444444,0.586995574276276,156,174,-1.0,1.0,46,1
Zoo 1,4,27,12,15,0.4444444444444444,0.4161018751662027,215,215,0.0,1.0,50,1
SMOG 2,3,16,7,9,0.4375,0.5815129111084993,159,156,0.1875,1.0,48,1
Plymouth Ultimate,1,7,3,4,0.42857142857142855,0.38892102049996785,36,55,-2.7142857142857144,1.0,25,0
Flyght Club 1,1,5,2,3,0.4,0.47797144032438155,35,55,-4.0,1.0,40,0
Brixton,2,13,5,8,0.38461538461538464,0.47101728680676047,75,102,-2.076923076923077,1.0,34,1
Curve,3,18,6,12,0.3333333333333333,0.408082024232695,144,188,-2.4444444444444446,1.0,50,1
Thundering Herd 2,1,6,2,4,0.3333333333333333,0.3159223817118554,50,70,-3.3333333333333335,1.0,34,0
Purple Cobras Mixed,1,6,2,4,0.3333333333333333,0.5421198168876188,43,66,-3.8333333333333335,1.0,38,0
Guildford,3,19,6,13,0.3157894736842105,0.39494294563546645,100,170,-3.6842105263157894,1.0,43,1
Thundering Herd,2,10,3,7,0.3,0.511683855360326,82,121,-3.9,1.0,43,1
Brixton Mixed,2,11,3,8,0.2727272727272727,0.4247159788955454,79,123,-4.0,1.0,42,1
Birmingham Ultimate,2,11,3,8,0.2727272727272727,0.4112736248959159,88,116,-2.5454545454545454,1.0,52,1
Big Fish Little Fish,1,5,1,4,0.2,0.5851515151515152,40,60,-4.0,1.0,32,0
