Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU,Game_Rank_Diff_Windmill,Game_Wght_Windmill,Is_Ignored_Windmill,Team_Rank_Diff_Windmill,Game_Rank_Diff_Sigmoid,Game_Wght_Sigmoid,Is_Ignored_Sigmoid,Team_Rank_Diff_Sigmoid
Spring Startup,2023-04-22,Brighton Ultimate,Bristol Open 2,15,8,564.8086448756737,1.0,0,531.7099999999999,7,1,0,7.11,7,1,0,7.3908447594276545
Spring Startup,2023-04-22,Brighton Ultimate,Flyght Open 2,15,5,600.0,1.0,1,788.24,10,1,0,11.26,10,1,0,10.504584038988277
Spring Startup,2023-04-22,Brighton Ultimate,St Albans,15,9,515.4814780292847,1.0,0,686.49,6,1,0,9.27,6,1,0,9.148385882526263
Spring Startup,2023-04-22,Bristol Open,Flyght Open 1,15,4,600.0,1.0,1,837.4100000000001,11,1,0,11.309999999999999,11,1,0,10.676829632279848
Spring Startup,2023-04-22,Bristol Open,Ka-Pow!,14,6,600.0,1.0,0,335.75000000000006,8,1,0,3.8599999999999994,8,1,0,4.798019235164311
Spring Startup,2023-04-22,Bristol Open,Newcastle Brown,15,9,515.4814780292847,1.0,0,621.71,6,1,0,7.39,6,1,0,8.049871254492036
Spring Startup,2023-04-22,Bristol Open 2,Brixton,15,7,600.0,1.0,0,197.71999999999997,8,1,0,4.27,8,1,0,4.307148624922814
Spring Startup,2023-04-22,Devon 1,Lemmings 1,13,7,557.5316737222639,1.0,0,87.05,6,1,0,0.9900000000000002,6,1,0,1.1542138656790542
Spring Startup,2023-04-22,Devon 1,Newcastle Brown,14,8,536.0348119187572,1.0,0,229.26,6,1,0,2.41,6,1,0,2.5592245017091386
Spring Startup,2023-04-22,Fire of London,Cambridge Ultimate,15,8,564.8086448756737,1.0,0,189.1,7,1,0,1.99,7,1,0,2.3680281142531356
Spring Startup,2023-04-22,Fire of London,LLLeeds Open 1,10,9,125.0,1.0,0,334.39,1,1,0,3.84,1,1,0,4.033114449602536
Spring Startup,2023-04-22,Flyght Open 1,Newcastle Brown,14,9,473.8676990361691,1.0,0,-215.70000000000002,5,1,0,-3.92,5,1,0,-4.250653181453437
Spring Startup,2023-04-22,Ka-Pow!,Devon 1,14,10,398.70186369942724,1.0,0,56.69999999999999,4,1,0,1.12,4,1,0,1.4303904810798969
Spring Startup,2023-04-22,Ka-Pow!,Lemmings 1,15,5,600.0,1.0,0,143.75,10,1,0,2.1100000000000003,10,1,0,2.5657775092467823
Spring Startup,2023-04-22,Lemmings 1,Flyght Open 1,12,11,125.0,1.0,0,357.91,1,1,0,5.34,1,1,0,5.525733124794673
Spring Startup,2023-04-22,Manchester Ultimate,Cambridge Ultimate,15,9,515.4814780292847,1.0,0,193.70000000000002,6,1,0,2.69,6,1,0,3.096599987591393
Spring Startup,2023-04-22,Manchester Ultimate,LLLeeds Open 1,12,6,579.3107485100336,0.9733285267845752,0,338.99,6,1,0,4.54,6,1,0,4.7224792153565005
Spring Startup,2023-04-22,Oxford Ultimate,Manchester Bees,14,13,125.0,1.0,0,23.519999999999982,1,1,0,1.19,1,1,0,0.9997656014916387
Spring Startup,2023-04-22,Reading Open,Cambridge Ultimate,15,9,515.4814780292847,1.0,0,266.68,6,1,0,2.78,6,1,0,3.6427427726410926
Spring Startup,2023-04-22,Reading Open,Manchester Ultimate,14,12,220.95664314305532,1.0,0,72.97999999999999,2,1,0,0.08999999999999986,2,1,0,0.574968154765914
Spring Startup,2023-04-22,SMOG Men,Fire of London,15,8,564.8086448756737,1.0,0,264.3,7,1,0,3.4099999999999997,7,1,0,4.026851672635292
Spring Startup,2023-04-22,SMOG Men,LLLeeds Open 1,13,8,496.1596377856195,1.0,0,598.69,5,1,0,7.25,5,1,0,7.517354965672379
Spring Startup,2023-04-22,SMOG Men,Reading Open,14,13,125.0,1.0,0,186.72,1,1,0,2.6199999999999997,1,1,0,2.7669595306599284
Spring Startup,2023-04-22,SOLENT,Birmingham Ultimate,12,9,345.3654772346762,1.0,0,561.97,3,1,0,8.66,3,1,0,8.673953700298824
Spring Startup,2023-04-22,SOLENT,Birmingham Ultimate,15,5,600.0,1.0,0,561.97,10,1,0,8.66,10,1,0,8.673953700298824
Spring Startup,2023-04-22,SOLENT,Manchester Bees,14,10,398.70186369942724,1.0,0,174.44,4,1,0,2.7299999999999995,4,1,0,2.9022000546316775
Spring Startup,2023-04-22,SOLENT,Oxford Ultimate,12,11,125.0,1.0,0,150.92000000000002,1,1,0,1.5399999999999998,1,1,0,1.9272880730151947
Spring Startup,2023-04-22,SOLENT,Oxford Ultimate,15,7,600.0,1.0,0,150.92000000000002,8,1,0,1.5399999999999998,8,1,0,1.9272880730151947
Spring Startup,2023-04-22,St Albans,Flyght Open 2,15,3,600.0,1.0,0,101.75,12,1,0,1.9900000000000002,12,1,0,2.3672968003383374
Spring Startup,2023-04-22,Steal,Bristol Open 2,13,7,557.5316737222639,1.0,0,378.78,6,1,0,4.86,6,1,0,5.326924284387083
Spring Startup,2023-04-22,Steal,Brixton,15,2,600.0,1.0,0,576.5,13,1,0,9.129999999999999,13,1,0,8.742569595178526
Spring Startup,2023-04-22,Steal,St Albans,14,9,473.8676990361691,1.0,0,533.56,5,1,0,7.0200000000000005,5,1,0,7.39936038163599
Spring Startup,2023-04-23,Birmingham Ultimate,Bristol Open 2,12,11,125.0,1.0,0,-276.56,1,1,0,-4.65,1,1,0,-5.072220787538026
Spring Startup,2023-04-23,Birmingham Ultimate,Flyght Open 2,13,9,418.5661446562001,1.0,0,-20.029999999999973,4,1,0,-0.5,4,1,0,-0.3561830326875839
Spring Startup,2023-04-23,Brighton Ultimate,Cambridge Ultimate,15,9,515.4814780292847,1.0,0,103.77,6,1,0,1.37,6,1,0,1.5825882762329861
Spring Startup,2023-04-23,Brighton Ultimate,Flyght Open 1,14,9,473.8676990361691,1.0,0,291.95,5,1,0,4.95,5,1,0,5.048958578428163
Spring Startup,2023-04-23,Brighton Ultimate,LLLeeds Open 1,15,8,564.8086448756737,1.0,0,249.06,7,1,0,3.2199999999999998,7,1,0,3.281351251821178
Spring Startup,2023-04-23,Bristol Open,Fire of London,15,11,381.1647521399218,1.0,0,460.13000000000005,4,1,0,5.74,4,1,0,6.780466020359096
Spring Startup,2023-04-23,Bristol Open,Reading Open,15,9,515.4814780292847,1.0,0,382.55000000000007,6,1,0,4.949999999999999,6,1,0,5.681898866990235
Spring Startup,2023-04-23,Bristol Open,SMOG Men,14,12,220.95664314305532,1.0,0,195.83000000000004,2,1,0,2.33,2,1,0,3.133917791937403
Spring Startup,2023-04-23,Brixton,Flyght Open 2,10,9,125.0,1.0,0,58.81000000000006,1,1,0,-0.11999999999999922,1,1,0,0.4918236381344716
Spring Startup,2023-04-23,Cambridge Ultimate,Newcastle Brown,15,10,453.6039151898044,1.0,0,-27.519999999999996,5,1,0,-0.33999999999999997,5,1,0,-0.704481343280257
Spring Startup,2023-04-23,Cambridge Ultimate,Steal,15,7,600.0,1.0,0,49.160000000000004,8,1,0,0.88,8,1,0,0.9355341209566799
Spring Startup,2023-04-23,Devon 1,Lemmings 1,12,10,238.1225775586291,1.0,0,87.05,2,1,0,0.9900000000000002,2,1,0,1.1542138656790542
Spring Startup,2023-04-23,Fire of London,Devon 1,13,12,125.0,1.0,0,-67.68,1,1,0,-0.7600000000000002,1,1,0,-0.9004161569089018
Spring Startup,2023-04-23,Flyght Open 1,SOLENT,15,7,600.0,1.0,0,-45.650000000000006,8,1,0,-1.8499999999999999,8,1,0,-1.768486865066599
Spring Startup,2023-04-23,Flyght Open 1,SOLENT,11,10,125.0,1.0,0,-45.650000000000006,1,1,0,-1.8499999999999999,1,1,0,-1.768486865066599
Spring Startup,2023-04-23,Ka-Pow!,Fire of London,14,11,313.3379659704299,1.0,0,124.38,3,1,0,1.8800000000000003,3,1,0,2.317540554836018
Spring Startup,2023-04-23,Ka-Pow!,Lemmings 1,15,5,600.0,1.0,0,143.75,10,1,0,2.1100000000000003,10,1,0,2.5657775092467823
Spring Startup,2023-04-23,LLLeeds Open 1,Newcastle Brown,15,14,125.0,1.0,0,-172.81,1,1,0,-2.19,1,1,0,-2.4301472540890856
Spring Startup,2023-04-23,LLLeeds Open 1,SOLENT,12,10,238.1225775586291,1.0,0,-2.759999999999991,2,1,0,-0.11999999999999988,2,1,0,0.1417457806075948
Spring Startup,2023-04-23,Manchester Bees,Brixton,15,7,600.0,1.0,0,308.68999999999994,8,1,0,5.55,8,1,0,5.793304214429288
