Team,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
GB U24 Open,1,5,5,0,1.0,0.5969540229885058,73,47,5.2,1.0,32,0
Brighton Ultimate,2,11,11,0,1.0,0.40168800302490143,161,73,8.0,1.0,48,1
Chevron Action Flash,2,10,10,0,1.0,0.5619170274170274,146,70,7.6,1.0,42,1
Clapham Ultimate,2,9,8,1,0.8888888888888888,0.5999898212372857,129,64,7.222222222222222,1.0,37,0
Steal Open,1,6,5,1,0.8333333333333334,0.3249158249158249,76,46,5.0,1.0,35,0
Ireland U24 Open,1,6,5,1,0.8333333333333334,0.4793487394957983,70,57,2.1666666666666665,1.0,37,0
GB U20 Open,1,6,5,1,0.8333333333333334,0.34949494949494947,83,36,7.833333333333333,1.0,32,0
Clapham,1,5,4,1,0.8,0.5162677484787018,74,54,4.0,1.0,29,0
GB Grand Masters Open,1,5,4,1,0.8,0.459572192513369,68,42,5.2,1.0,29,0
Bristol Open,5,29,23,6,0.7931034482758621,0.5264889843084569,383,277,3.6551724137931036,1.0,52,1
Alba,3,16,12,4,0.75,0.6290281642749458,209,142,4.1875,1.0,43,1
Tribe Open,1,6,4,2,0.6666666666666666,0.5369474313022701,70,61,1.5,1.0,42,0
SOLENT 2,1,6,4,2,0.6666666666666666,0.36496335908100613,68,61,1.1666666666666667,1.0,38,0
Oxford Ultimate Open,1,6,4,2,0.6666666666666666,0.403852247969895,74,47,4.5,1.0,35,0
Oxford Ultimate,1,6,4,2,0.6666666666666666,0.3834818775995246,75,71,0.6666666666666666,1.0,34,0
Lemmings,1,6,4,2,0.6666666666666666,0.489959234314073,60,50,1.6666666666666667,1.0,31,0
Thundering Herd,1,6,4,2,0.6666666666666666,0.3323232323232323,68,47,3.5,1.0,35,0
PELT Ultimate,2,11,7,4,0.6363636363636364,0.49559877714526673,133,124,0.8181818181818182,1.0,34,1
Fire of London,4,24,15,9,0.625,0.46018406614317925,259,250,0.375,1.0,55,1
Ranelagh,1,5,3,2,0.6,0.5739080459770115,73,58,3.0,1.0,25,0
SMASH'D,3,17,10,7,0.5882352941176471,0.6272283231973738,195,181,0.8235294117647058,1.0,38,1
SMOG Men,2,12,7,5,0.5833333333333334,0.5913664354068725,144,134,0.8333333333333334,1.0,39,1
Devon,2,14,8,6,0.5714285714285714,0.5084584381136106,141,127,1.0,1.0,43,1
Steal,3,20,11,9,0.55,0.4537131169484111,198,184,0.7,1.0,48,1
Ka-Pow!,4,25,13,12,0.52,0.5250539465550916,286,273,0.52,1.0,39,1
Manchester Ultimate,5,31,16,15,0.5161290322580645,0.4576888765883073,348,298,1.6129032258064515,1.0,50,1
EDI,2,14,7,7,0.5,0.4493790451739761,143,134,0.6428571428571429,1.0,47,1
Devon 1,1,6,3,3,0.5,0.47575396825396826,71,67,0.6666666666666666,1.0,35,0
St Albans,1,6,3,3,0.5,0.5578282828282829,76,64,2.0,1.0,37,0
Glasgow Open,1,6,3,3,0.5,0.5348707664884135,70,60,1.6666666666666667,1.0,43,0
Lemmings 2,2,12,6,6,0.5,0.39906955499697433,121,130,-0.75,1.0,39,1
SOLENT 1,3,17,8,9,0.47058823529411764,0.504522111875053,198,173,1.4705882352941178,1.0,54,1
Lemmings 1,4,24,11,13,0.4583333333333333,0.5578938923773462,242,264,-0.9166666666666666,1.0,52,1
Yorkshire Ultimate,2,11,5,6,0.45454545454545453,0.48906006017442966,98,102,-0.36363636363636365,1.0,45,1
Cambridge Ultimate,5,33,15,18,0.45454545454545453,0.49819402394738627,352,364,-0.36363636363636365,1.0,55,1
SOLENT A,1,5,2,3,0.4,0.45111111111111113,51,54,-0.6,1.0,36,0
Red Open,1,5,2,3,0.4,0.2927272727272727,45,54,-1.8,1.0,24,0
Reading Open,4,25,10,15,0.4,0.5531988649735688,270,316,-1.84,1.0,41,1
GB Open Masters,1,5,2,3,0.4,0.7272727272727273,62,58,0.8,1.0,22,0
Birmingham Ultimate,1,5,2,3,0.4,0.41957219251336897,47,62,-3.0,1.0,28,0
Newcastle Brown,5,28,11,17,0.39285714285714285,0.4983162173420958,303,338,-1.25,1.0,55,1
Flyght Open 1,3,18,7,11,0.3888888888888889,0.55716396799054,146,206,-3.3333333333333335,1.0,58,1
Manchester Bees,5,30,11,19,0.36666666666666664,0.45872622296410165,287,346,-1.9666666666666666,1.0,60,1
Flyght Open 2,2,11,4,7,0.36363636363636365,0.4118457300275482,99,124,-2.272727272727273,1.0,38,1
Curve Open,2,11,4,7,0.36363636363636365,0.4358936963215038,101,123,-2.0,1.0,30,1
Bristol Open 2,2,11,4,7,0.36363636363636365,0.5196969696969697,112,123,-1.0,1.0,38,1
Brixton Open,2,11,4,7,0.36363636363636365,0.5210176632636526,77,128,-4.636363636363637,1.0,37,1
Birmingham Ultimate Open,1,6,2,4,0.3333333333333333,0.49848484848484853,41,72,-5.166666666666667,1.0,24,0
Brighton Ultimate Open,1,6,2,4,0.3333333333333333,0.5371855813032284,73,73,0.0,1.0,40,0
Edinburgh Ultimate,1,6,2,4,0.3333333333333333,0.445496632996633,54,75,-3.5,1.0,36,0
