Team,Rating_Sigmoid,Rating_Windmill,Rating_USAU,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
GB Women,265.52,13.96,818.83,1,5,5,0,1.0,0.5133652312599681,72,30,8.4,1.0,25,0
Ice Age,204.06,10.82,524.36,1,5,3,2,0.6,0.6866666666666668,63,47,3.2,1.0,13,0
Dublin Gravity,184.61,9.11,678.73,1,6,6,0,1.0,0.50314889788574,80,46,5.666666666666667,1.0,21,0
Iceni,162.78,7.81,675.29,3,17,15,2,0.8823529411764706,0.4775392478178856,210,103,6.294117647058823,1.0,32,1
GB Womens Masters,160.99,8.11,484.66,1,5,3,2,0.6,0.49462863933452167,67,50,3.4,1.0,26,0
LMU,150.82,7.23,529.83,2,13,8,5,0.6153846153846154,0.6217897513563149,150,110,3.076923076923077,1.0,32,1
Bristol,140.28,6.5,516.07,3,19,14,5,0.7368421052631579,0.5190303079499755,223,139,4.421052631578948,1.0,33,1
Reading 1,125.44,5.83,391.69,1,6,3,3,0.5,0.6704097416171719,74,73,0.16666666666666666,1.0,23,0
GB U24 Women,115.53,5.92,439.13,1,6,5,1,0.8333333333333334,0.4129895445684919,64,50,2.3333333333333335,1.0,23,0
Spice Ultimate,114.67,5.48,311.39,1,6,3,3,0.5,0.5789064736433157,69,59,1.6666666666666667,1.0,24,0
Lemmings 1,103.81,4.78,333.38,1,6,3,3,0.5,0.6038986354775829,54,58,-0.6666666666666666,1.0,20,0
Spice,102.42,4.81,337.73,3,18,11,7,0.6111111111111112,0.46951696108042856,184,137,2.611111111111111,1.0,30,1
SMOG Women,101.06,4.46,270.84,2,11,5,6,0.45454545454545453,0.5901311279020258,120,132,-1.0909090909090908,1.0,28,0
SYC,94.49,4.4,278.6,3,19,11,8,0.5789473684210527,0.49562557461367956,183,144,2.0526315789473686,1.0,30,1
Flame,81.07,2.36,162.41,1,7,4,3,0.5714285714285714,0.5145974989185957,64,62,0.2857142857142857,1.0,32,0
Bristol Women,79.57,3.36,189.04,1,6,3,3,0.5,0.5203245040706341,52,54,-0.3333333333333333,1.0,24,0
SY-See,65.91,1.86,169.36,1,5,2,3,0.4,0.5520030021578008,47,56,-1.8,1.0,25,0
Ireland U24 Women,48.83,1.53,-13.88,1,6,1,5,0.16666666666666666,0.6335282651072125,48,62,-2.3333333333333335,1.0,22,0
Gravity,46.46,0.88,-76.74,1,7,2,5,0.2857142857142857,0.502562428480164,57,69,-1.7142857142857142,1.0,27,0
SCRAM,41.63,0.53,-47.73,2,12,4,8,0.3333333333333333,0.49658848919684834,110,126,-1.3333333333333333,1.0,33,1
Horizon,0.14,-1.0,-206.87,3,17,6,11,0.35294117647058826,0.4299882951585738,152,168,-0.9411764705882353,1.0,34,1
SY-Sea,-18.41,-1.13,-183.2,1,6,2,4,0.3333333333333333,0.5088432809021044,58,69,-1.8333333333333333,1.0,25,0
GB U20 Women,-48.66,-2.69,-258.45,1,6,2,4,0.3333333333333333,0.496125116713352,42,58,-2.6666666666666665,1.0,23,0
Brighton Ultimate,-112.65,-4.92,-280.71,1,6,2,4,0.3333333333333333,0.5416666666666666,46,70,-4.0,1.0,21,0
GB U20 Women Blue,-120.64,-5.0,-351.08,1,6,4,2,0.6666666666666666,0.43898225957049486,40,32,1.3333333333333333,1.0,26,0
Brixton,-126.24,-5.74,-419.61,2,12,5,7,0.4166666666666667,0.4549377938309827,82,120,-3.1666666666666665,1.0,32,1
GB U20 Women Red,-129.7,-5.02,-333.19,1,7,5,2,0.7142857142857143,0.3812925170068027,57,39,2.5714285714285716,1.0,22,0
Brighton,-145.92,-7.47,-496.88,1,6,1,5,0.16666666666666666,0.5376533654397432,20,73,-8.833333333333334,1.0,28,0
Brighton Ultimate Women,-191.15,-7.57,-538.44,1,7,6,1,0.8571428571428571,0.28435374149659864,64,42,3.142857142857143,1.0,18,0
Oxford Ultimate,-195.42,-9.91,-671.41,1,7,2,5,0.2857142857142857,0.3948979591836735,45,70,-3.5714285714285716,1.0,23,0
Mint @ August Edition,-214.92,-9.61,-1044.3,1,6,0,6,0.0,0.5654311432175209,12,80,-11.333333333333334,1.0,28,0
Flyght Women,-224.91,-9.13,-768.96,1,6,3,3,0.5,0.3357142857142857,51,35,2.6666666666666665,1.0,15,0
Guildford Ultimate Women,-252.69,-11.36,-910.7,1,7,3,4,0.42857142857142855,0.4091836734693878,52,51,0.14285714285714285,1.0,15,0
Chameleons,-254.89,-11.29,-893.45,3,20,3,17,0.15,0.5212177786094194,89,233,-7.2,1.0,29,0
Yorkshire Women,-353.91,-17.9,-1296.95,1,6,0,6,0.0,0.44960317460317456,14,68,-9.0,1.0,18,0
