Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU,Game_Rank_Diff_Windmill,Game_Wght_Windmill,Is_Ignored_Windmill,Team_Rank_Diff_Windmill,Game_Rank_Diff_Sigmoid,Game_Wght_Sigmoid,Is_Ignored_Sigmoid,Team_Rank_Diff_Sigmoid
Spring Startup 2024,2024-04-20,Brixton,Chameleons,11,8,365.60925011032475,1.0,0,434.7099999999999,3,1,0,3.7299999999999995,3,1,0,4.164971871033313
Spring Startup 2024,2024-04-20,Brixton,Kestrels,12,6,579.3107485100336,0.9733285267845752,0,-17.25999999999999,6,1,0,-2.0500000000000007,6,1,0,-2.2794563142773594
Spring Startup 2024,2024-04-20,GB U20,Brixton,13,7,557.5316737222639,1.0,0,434.61,6,1,0,6.96,6,1,0,8.002768460158254
Spring Startup 2024,2024-04-20,GB U20,Chameleons,13,2,600.0,1.0,1,869.3199999999999,11,1,0,10.69,11,1,0,10.597792508862128
Spring Startup 2024,2024-04-20,GB U20,Kestrels,11,9,249.2068104043629,1.0,0,417.35,2,1,0,4.909999999999999,2,1,0,6.228271653489923
Spring Startup 2024,2024-04-20,Kestrels,Chameleons,12,6,579.3107485100336,0.9733285267845752,0,451.9699999999999,6,1,0,5.78,6,1,0,6.183514873336133
Windfarm 2024,2024-05-25,Bristol Women,Masterclass,14,10,398.70186369942724,1.0,0,66.09000000000003,4,1,0,0.5800000000000001,4,1,0,0.3509359495085569
Windfarm 2024,2024-05-25,Bristol Women,Spice,14,11,313.3379659704299,1.0,0,323.96000000000004,3,1,0,3.17,3,1,0,3.730828938126166
Windfarm 2024,2024-05-25,Brixton,FRed,9,6,418.5661446562001,0.8885233166386386,0,242.84000000000003,3,1,0,3.0999999999999988,3,1,0,3.7456007390035886
Windfarm 2024,2024-05-25,Chameleons,Eclipse,9,2,600.0,0.8271701918685112,1,719.46,7,1,0,6.74,7,1,0,9.438536689746961
Windfarm 2024,2024-05-25,FRed,Sheffield Steal,13,3,600.0,1.0,0,311.3399999999999,10,1,0,1.08,10,1,0,2.023833469592482
Windfarm 2024,2024-05-25,GB Masters Women,Bristol Women,12,10,238.1225775586291,1.0,0,289.63,2,1,0,2.7200000000000006,2,1,0,2.7966519319611685
Windfarm 2024,2024-05-25,GB Masters Women,Masterclass,13,9,418.5661446562001,1.0,0,355.72,4,1,0,3.3000000000000007,4,1,0,3.133917791937403
Windfarm 2024,2024-05-25,GB Masters Women,Spice,14,10,398.70186369942724,1.0,0,613.59,4,1,0,5.890000000000001,4,1,0,6.238199480652295
Windfarm 2024,2024-05-25,GB U20,Chameleons,13,0,600.0,1.0,1,869.3199999999999,13,1,0,10.69,13,1,0,10.597792508862128
Windfarm 2024,2024-05-25,GB U20,Eclipse,13,1,600.0,1.0,1,1588.78,12,1,0,17.43,12,1,0,13.87012465609866
Windfarm 2024,2024-05-25,GB U20,Kestrels,10,3,600.0,0.8583950752789521,0,417.35,7,1,0,4.909999999999999,7,1,0,6.228271653489923
