Tournament,Date,Team_1,Team_2,Score_1,Score_2
Mixed Imperial,2023-03-25,BN1,Oxford Ultimate,9,8
Mixed Imperial,2023-03-25,Brixton,Plymouth Ultimate,6,1
Mixed Imperial,2023-03-25,Cambridge Ultimate,Brixton,11,6
Mixed Imperial,2023-03-25,Cambridge Ultimate,Plymouth Ultimate,14,1
Mixed Imperial,2023-03-25,Curve,Guildford,6,3
Mixed Imperial,2023-03-25,Curve,Sharkbear!,11,1
Mixed Imperial,2023-03-25,Curve,Zoo 1,7,3
Mixed Imperial,2023-03-25,Deep Space,GB U24 Mixed,11,6
Mixed Imperial,2023-03-25,Deep Space,Thundering Herd,8,4
Mixed Imperial,2023-03-25,GB U24 Mixed,Thundering Herd,10,8
Mixed Imperial,2023-03-25,Guildford,Sharkbear!,6,4
Mixed Imperial,2023-03-25,Hooves,Deep Space,13,7
Mixed Imperial,2023-03-25,Hooves,GB U24 Mixed,12,6
Mixed Imperial,2023-03-25,Hooves,Thundering Herd,10,4
Mixed Imperial,2023-03-25,Lemmings 1,BN1,10,9
Mixed Imperial,2023-03-25,Lemmings 1,Oxford Ultimate,13,10
Mixed Imperial,2023-03-25,Mixed Feelings,Curve,8,3
Mixed Imperial,2023-03-25,Mixed Feelings,Guildford,10,1
Mixed Imperial,2023-03-25,Mixed Feelings,Sharkbear!,13,1
Mixed Imperial,2023-03-25,Mixed Feelings,Zoo 1,9,3
Mixed Imperial,2023-03-25,Purple Cobras,Brixton,11,4
Mixed Imperial,2023-03-25,Purple Cobras,Cambridge Ultimate,8,3
Mixed Imperial,2023-03-25,Purple Cobras,Plymouth Ultimate,13,4
Mixed Imperial,2023-03-25,Reading,BN1,13,9
Mixed Imperial,2023-03-25,Reading,Lemmings 1,12,7
Mixed Imperial,2023-03-25,Reading,Oxford Ultimate,13,9
Mixed Imperial,2023-03-25,Zoo 1,Guildford,7,2
Mixed Imperial,2023-03-25,Zoo 1,Sharkbear!,6,3
Mixed Imperial,2023-03-26,BN1,Curve,15,4
Mixed Imperial,2023-03-26,BN1,Thundering Herd,10,5
Mixed Imperial,2023-03-26,Brixton,Guildford,5,3
Mixed Imperial,2023-03-26,Brixton,Sharkbear!,12,2
Mixed Imperial,2023-03-26,Brixton,Zoo 1,5,3
Mixed Imperial,2023-03-26,Cambridge Ultimate,Mixed Feelings,15,10
Mixed Imperial,2023-03-26,Cambridge Ultimate,Purple Cobras,10,7
Mixed Imperial,2023-03-26,Deep Space,Reading,15,13
Mixed Imperial,2023-03-26,GB U24 Mixed,BN1,11,8
Mixed Imperial,2023-03-26,GB U24 Mixed,Cambridge Ultimate,14,5
Mixed Imperial,2023-03-26,GB U24 Mixed,Oxford Ultimate,15,4
Mixed Imperial,2023-03-26,Guildford,Plymouth Ultimate,8,4
Mixed Imperial,2023-03-26,Guildford,Sharkbear!,8,1
Mixed Imperial,2023-03-26,Guildford,Zoo 1,8,7
Mixed Imperial,2023-03-26,Hooves,Deep Space,15,13
Mixed Imperial,2023-03-26,Hooves,Lemmings 1,15,10
Mixed Imperial,2023-03-26,Mixed Feelings,Curve,15,3
Mixed Imperial,2023-03-26,Oxford Ultimate,Mixed Feelings,15,9
Mixed Imperial,2023-03-26,Plymouth Ultimate,Brixton,8,7
Mixed Imperial,2023-03-26,Plymouth Ultimate,Sharkbear!,10,3
Mixed Imperial,2023-03-26,Plymouth Ultimate,Zoo 1,8,4
Mixed Imperial,2023-03-26,Purple Cobras,Curve,15,10
Mixed Imperial,2023-03-26,Reading,Lemmings 1,12,7
Mixed Imperial,2023-03-26,Thundering Herd,Oxford Ultimate,13,12
Mixed Imperial,2023-03-26,Thundering Herd,Purple Cobras,13,7
Mixed Imperial,2023-03-26,Zoo 1,Sharkbear!,7,3
Grey Towers,2023-06-17,Contested 1st,Black Sheep Mixed,12,5
Grey Towers,2023-06-17,Contested 1st,Glasgow Mixed 2,11,6
Grey Towers,2023-06-17,Contested 1st,LLLeeds 1,9,8
Grey Towers,2023-06-17,Glasgow Mixed,Mamak Ult,15,3
Grey Towers,2023-06-17,Glasgow Mixed,Newcastle Brown,14,4
Grey Towers,2023-06-17,Glasgow Mixed,Sheffield Steal,13,8
Grey Towers,2023-06-17,Glasgow Mixed 2,Black Sheep Mixed,9,6
Grey Towers,2023-06-17,LLLeeds 1,Black Sheep Mixed,13,4
Grey Towers,2023-06-17,LLLeeds 1,Glasgow Mixed 2,11,3
Grey Towers,2023-06-17,Mamak Ult,Sheffield Steal,9,8
Grey Towers,2023-06-17,Nemesis,Black Sheep Mixed,12,5
Grey Towers,2023-06-17,Nemesis,Contested 1st,9,8
Grey Towers,2023-06-17,Nemesis,Glasgow Mixed 2,10,6
Grey Towers,2023-06-17,Nemesis,LLLeeds 1,11,10
Grey Towers,2023-06-17,Newcastle Brown,Mamak Ult,13,9
Grey Towers,2023-06-17,Newcastle Brown,Sheffield Steal,14,8
Mooxed,2023-06-17,BN1,Mixed Feelings,15,6
Mooxed,2023-06-17,Bristol Mixed,Curve,15,4
Mooxed,2023-06-17,Bristol Mixed,Guildford,14,4
Mooxed,2023-06-17,Brixton,Bristol Mixed,12,5
Mooxed,2023-06-17,Flyght Mixed,Birmingham Ultimate,14,8
Mooxed,2023-06-17,GB Mixed Masters,Purple Cobras,15,2
Mooxed,2023-06-17,GB Mixed Masters,Reading 2,14,8
Mooxed,2023-06-17,Lemmings 1,BN1,14,8
Mooxed,2023-06-17,Lemmings 1,South Wales Storm Mixed,15,3
Mooxed,2023-06-17,Lemmings 1,Thundering Herd,15,9
Mooxed,2023-06-17,Lemmings 2,Flyght Mixed,15,10
Mooxed,2023-06-17,Lemmings 2,GB Mixed Masters,12,11
Mooxed,2023-06-17,Lemmings 2,Reading 2,15,14
Mooxed,2023-06-17,Mixed Feelings,Thundering Herd 2,15,5
Mooxed,2023-06-17,Norwich Ultimate,Curve,10,4
Mooxed,2023-06-17,Norwich Ultimate,South Wales Storm Mixed,11,7
Mooxed,2023-06-17,Norwich Ultimate,Thundering Herd 2,14,8
Mooxed,2023-06-17,Oxford Ultimate,BN1,12,6
Mooxed,2023-06-17,Oxford Ultimate,Mixed Feelings,12,9
Mooxed,2023-06-17,Purple Cobras,Birmingham Ultimate,13,5
Mooxed,2023-06-17,Purple Cobras,Flyght Mixed,11,4
Mooxed,2023-06-17,Reading 2,Brixton,15,7
Mooxed,2023-06-17,Thundering Herd,Oxford Ultimate,10,9
Mooxed,2023-06-17,Thundering Herd,South Wales Storm Mixed,15,2
Mooxed,2023-06-17,Thundering Herd 2,Curve,15,9
Mooxed,2023-06-17,Zoo 1,Birmingham Ultimate,11,9
Mooxed,2023-06-17,Zoo 1,Brixton,15,6
Mooxed,2023-06-17,Zoo 1,Guildford,15,5
Grey Towers,2023-06-18,Black Sheep Mixed,Mamak Ult,12,5
Grey Towers,2023-06-18,Black Sheep Mixed,Sheffield Steal,13,10
Grey Towers,2023-06-18,Contested 1st,Nemesis,15,8
Grey Towers,2023-06-18,Glasgow Mixed,Contested 1st,15,7
Grey Towers,2023-06-18,Glasgow Mixed,Newcastle Brown,15,2
Grey Towers,2023-06-18,Glasgow Mixed 2,Mamak Ult,11,9
Grey Towers,2023-06-18,Glasgow Mixed 2,Sheffield Steal,10,9
Grey Towers,2023-06-18,LLLeeds 1,Mamak Ult,15,6
Grey Towers,2023-06-18,LLLeeds 1,Sheffield Steal,15,4
Grey Towers,2023-06-18,Newcastle Brown,Nemesis,12,10
Mooxed,2023-06-18,BN1,Purple Cobras,11,6
Mooxed,2023-06-18,BN1,Zoo 1,12,9
Mooxed,2023-06-18,Birmingham Ultimate,South Wales Storm Mixed,10,4
Mooxed,2023-06-18,Birmingham Ultimate,Thundering Herd 2,10,6
Mooxed,2023-06-18,Bristol Mixed,Birmingham Ultimate,9,7
Mooxed,2023-06-18,Bristol Mixed,Brixton,12,6
Mooxed,2023-06-18,Bristol Mixed,Curve,14,6
Mooxed,2023-06-18,Brixton,Guildford,9,6
Mooxed,2023-06-18,Curve,South Wales Storm Mixed,10,8
Mooxed,2023-06-18,Flyght Mixed,Norwich Ultimate,15,6
