Team,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
SLAB,1,6,6,0,1.0,0.5117349970291146,86,29,9.5,1.0,32,0
Hooves,1,5,5,0,1.0,0.693023643023643,65,40,5.0,1.0,22,0
SMOG 1,3,16,15,1,0.9375,0.5563478953644395,216,107,6.8125,1.0,37,1
Deep Space,4,22,18,4,0.8181818181818182,0.5888222124765187,275,153,5.545454545454546,1.0,38,1
Reading,3,16,13,3,0.8125,0.6044963643812328,208,128,5.0,1.0,39,1
Lemmings 1,5,26,20,6,0.7692307692307693,0.5697914585414585,306,206,3.8461538461538463,1.0,38,1
LLLeeds 1,2,11,8,3,0.7272727272727273,0.45240797058275245,126,73,4.818181818181818,1.0,34,1
Contested 1st,2,11,8,3,0.7272727272727273,0.545145496215015,112,100,1.0909090909090908,1.0,38,1
Exe and the City,1,6,4,2,0.6666666666666666,0.6507131026867868,73,54,3.1666666666666665,1.0,32,0
GB U24 Mixed,1,6,4,2,0.6666666666666666,0.6462842712842712,62,48,2.3333333333333335,1.0,27,0
Cambridge Ultimate,2,12,8,4,0.6666666666666666,0.5519041703910125,120,103,1.4166666666666667,1.0,34,1
Reading 2,2,12,8,4,0.6666666666666666,0.4360858585858585,147,113,2.8333333333333335,1.0,38,1
Glasgow Mixed,4,20,13,7,0.65,0.5177095601766655,224,168,2.8,1.0,40,1
Lemmings 2,2,11,7,4,0.6363636363636364,0.5541208392883035,128,114,1.2727272727272727,1.0,38,1
Newcastle Brown,2,10,6,4,0.6,0.47835668717247665,96,97,-0.1,1.0,36,1
Nemesis,4,21,12,9,0.5714285714285714,0.4634882740975178,209,196,0.6190476190476191,1.0,41,1
Oxford Ultimate,5,30,16,14,0.5333333333333333,0.5321371815319184,314,286,0.9333333333333333,1.0,40,1
Bristol Mixed,3,19,10,9,0.5263157894736842,0.4625727825756341,156,162,-0.3157894736842105,1.0,39,1
GB Mixed Masters,2,10,5,5,0.5,0.6147379287379288,108,81,2.7,1.0,35,1
Glasgow Mixed 2,1,6,3,3,0.5,0.4403064256005433,45,56,-1.8333333333333333,1.0,23,0
Red Mixed,1,6,3,3,0.5,0.4623691581895916,47,71,-4.0,1.0,30,0
Norwich Ultimate,1,6,3,3,0.5,0.291489898989899,55,58,-0.5,1.0,33,0
Purple Cobras,4,25,12,13,0.48,0.485550616050616,212,221,-0.36,1.0,39,1
Mixed Feelings,3,19,9,10,0.47368421052631576,0.4753206581045916,181,186,-0.2631578947368421,1.0,39,1
BN1,5,30,14,16,0.4666666666666667,0.5405431308457624,281,288,-0.23333333333333334,1.0,41,1
SMOG 2,3,16,7,9,0.4375,0.6084874225039666,159,156,0.1875,1.0,38,1
Plymouth Ultimate,1,7,3,4,0.42857142857142855,0.3577318295739348,36,55,-2.7142857142857144,1.0,31,0
Thundering Herd,5,28,11,17,0.39285714285714285,0.5669777340454033,238,295,-2.0357142857142856,1.0,39,1
Zoo 1,5,32,12,20,0.375,0.43335521934206145,247,283,-1.125,1.0,41,1
Curve,3,18,6,12,0.3333333333333333,0.3935700920453242,144,188,-2.4444444444444446,1.0,40,1
Thundering Herd 2,1,6,2,4,0.3333333333333333,0.3159223817118554,50,70,-3.3333333333333335,1.0,29,0
Brixton,4,24,8,16,0.3333333333333333,0.42793851970612806,154,225,-2.9583333333333335,1.0,38,1
Guildford,3,19,6,13,0.3157894736842105,0.37539962346056527,100,170,-3.6842105263157894,1.0,38,1
Sheffield Steal,2,11,3,8,0.2727272727272727,0.5102773340741256,96,125,-2.6363636363636362,1.0,33,1
Birmingham Ultimate,2,11,3,8,0.2727272727272727,0.39421131874973697,88,116,-2.5454545454545454,1.0,40,1
Flyght Mixed,4,22,5,17,0.22727272727272727,0.5046291944522313,170,251,-3.6818181818181817,1.0,41,1
Big Fish Little Fish,1,5,1,4,0.2,0.5960714285714286,40,60,-4.0,1.0,32,0
Black Sheep Mixed,3,17,3,14,0.17647058823529413,0.510365150845027,112,201,-5.235294117647059,1.0,38,1
Cambridge Ultimate 2,1,6,1,5,0.16666666666666666,0.4236111111111111,48,75,-4.5,1.0,33,0
Mamak Ult,1,6,1,5,0.16666666666666666,0.48774509803921573,41,74,-5.5,1.0,27,0
South Wales Storm Mixed,1,6,0,6,0.0,0.43358030858030855,33,71,-6.333333333333333,1.0,33,0
Sharkbear!,1,8,0,8,0.0,0.368812656641604,18,73,-6.875,1.0,32,0
