Year,Calendar_Week,Date_Start,Date_End,N_Tournaments,N_Teams_EUF,N_Teams_All,N_Games,N_Tournaments_Cum,N_Teams_EUF_Cum,N_Teams_All_Cum,N_Games_Cum,N_Components,N_Components_All,Max_Component_Size
2023,16,2023-04-17,2023-04-23,2,23,37,108,2,23,37,108,2,96,22
2023,17,2023-04-24,2023-04-30,0,0,0,0,2,23,37,108,2,96,22
2023,18,2023-05-01,2023-05-07,1,6,26,97,3,27,61,205,2,72,46
2023,19,2023-05-08,2023-05-14,1,10,10,20,4,30,64,225,2,69,49
2023,20,2023-05-15,2023-05-21,2,11,27,51,5,30,80,276,2,53,65
2023,21,2023-05-22,2023-05-28,0,0,0,0,5,30,80,276,2,53,65
2023,22,2023-05-29,2023-06-04,2,41,47,140,7,46,102,416,1,30,102
2023,23,2023-06-05,2023-06-11,0,0,0,0,7,46,102,416,1,30,102
2023,24,2023-06-12,2023-06-18,1,4,20,80,8,47,119,496,1,13,119
2023,25,2023-06-19,2023-06-25,1,2,8,19,9,48,126,515,1,6,126
2023,26,2023-06-26,2023-07-02,0,0,0,0,9,48,126,515,1,6,126
2023,27,2023-07-03,2023-07-09,0,0,0,0,9,48,126,515,1,6,126
2023,28,2023-07-10,2023-07-16,0,0,0,0,9,48,126,515,1,6,126
2023,29,2023-07-17,2023-07-23,0,0,0,0,9,48,126,515,1,6,126
2023,30,2023-07-24,2023-07-30,2,20,20,61,11,49,127,576,1,5,127
2023,31,2023-07-31,2023-08-06,0,0,0,0,11,49,127,576,1,5,127
2023,32,2023-08-07,2023-08-13,1,6,6,15,12,50,128,591,1,4,128
2023,33,2023-08-14,2023-08-20,0,0,0,0,12,50,128,591,1,4,128
2023,34,2023-08-21,2023-08-27,2,22,22,38,14,53,131,629,1,1,131
