Year,Calendar_Week,Date_Start,Date_End,N_Tournaments,N_Teams_EUF,N_Teams_All,N_Games,N_Tournaments_Cum,N_Teams_EUF_Cum,N_Teams_All_Cum,N_Games_Cum,N_Components,N_Components_All,Max_Component_Size
2023,16,2023-04-17,2023-04-23,1,15,15,51,1,15,15,51,1,66,15
2023,17,2023-04-24,2023-04-30,0,0,0,0,1,15,15,51,1,66,15
2023,18,2023-05-01,2023-05-07,1,3,20,67,2,17,34,118,3,49,30
2023,19,2023-05-08,2023-05-14,0,0,0,0,2,17,34,118,3,49,30
2023,20,2023-05-15,2023-05-21,1,2,12,24,3,17,44,142,3,39,40
2023,21,2023-05-22,2023-05-28,0,0,0,0,3,17,44,142,3,39,40
2023,22,2023-05-29,2023-06-04,2,17,24,74,5,24,58,216,3,25,54
2023,23,2023-06-05,2023-06-11,0,0,0,0,5,24,58,216,3,25,54
2023,24,2023-06-12,2023-06-18,1,4,20,80,6,24,74,296,3,9,70
2023,25,2023-06-19,2023-06-25,1,1,5,12,7,24,78,308,3,5,74
2023,26,2023-06-26,2023-07-02,0,0,0,0,7,24,78,308,3,5,74
2023,27,2023-07-03,2023-07-09,0,0,0,0,7,24,78,308,3,5,74
2023,28,2023-07-10,2023-07-16,0,0,0,0,7,24,78,308,3,5,74
2023,29,2023-07-17,2023-07-23,0,0,0,0,7,24,78,308,3,5,74
2023,30,2023-07-24,2023-07-30,0,0,0,0,7,24,78,308,3,5,74
2023,31,2023-07-31,2023-08-06,0,0,0,0,7,24,78,308,3,5,74
2023,32,2023-08-07,2023-08-13,1,7,7,21,8,25,79,329,3,4,75
2023,33,2023-08-14,2023-08-20,0,0,0,0,8,25,79,329,3,4,75
2023,34,2023-08-21,2023-08-27,1,10,10,20,9,26,80,349,3,3,76
