Tournament,Date,Team_1,Team_2,Score_1,Score_2
Spring Startup 2024,2024-03-23,Lemmings 1,Ka-Pow!,13,10
Spring Startup 2024,2024-03-23,Manchester Ultimate,Devon,13,9
Spring Startup 2024,2024-04-20,Bristol Open,Fire of London,13,5
Spring Startup 2024,2024-04-20,Bristol Open,Reading 1,15,10
Spring Startup 2024,2024-04-20,Bristol Open 2,Brighton Ultimate,13,3
Spring Startup 2024,2024-04-20,Bristol Open 2,Brixton,12,5
Spring Startup 2024,2024-04-20,Bristol Open 2,SOLENT 2,9,8
Spring Startup 2024,2024-04-20,Brixton,Brighton Ultimate,12,3
Spring Startup 2024,2024-04-20,Cambridge Ultimate,Brizzle,15,10
Spring Startup 2024,2024-04-20,Cambridge Ultimate,DED,15,13
Spring Startup 2024,2024-04-20,DED,Brizzle,15,13
Spring Startup 2024,2024-04-20,Ka-Pow!,Devon,15,6
Spring Startup 2024,2024-04-20,Ka-Pow!,Manchester Ultimate,15,7
Spring Startup 2024,2024-04-20,LLLeeds 1,Brizzle,15,5
Spring Startup 2024,2024-04-20,LLLeeds 1,Cambridge Ultimate,13,12
Spring Startup 2024,2024-04-20,LLLeeds 1,DED,15,8
Spring Startup 2024,2024-04-20,Lemmings 1,Devon,15,6
Spring Startup 2024,2024-04-20,Lemmings 1,Manchester Ultimate,15,6
Spring Startup 2024,2024-04-20,Reading 1,Fire of London,15,9
Spring Startup 2024,2024-04-20,SOLENT 1,Bristol Open,11,10
Spring Startup 2024,2024-04-20,SOLENT 1,Fire of London,11,9
Spring Startup 2024,2024-04-20,SOLENT 1,Reading 1,14,9
Spring Startup 2024,2024-04-20,SOLENT 2,Brighton Ultimate,13,0
Spring Startup 2024,2024-04-20,SOLENT 2,Brixton,13,7
Spring Startup 2024,2024-04-20,SOLENT 2,Zimmer,11,8
Spring Startup 2024,2024-04-20,Zimmer,Brighton Ultimate,13,5
Spring Startup 2024,2024-04-20,Zimmer,Bristol Open 2,11,10
Spring Startup 2024,2024-04-20,Zimmer,Brixton,11,9
Spring Startup 2024,2024-04-21,Bristol Open 2,Manchester Ultimate,15,11
Spring Startup 2024,2024-04-21,Bristol Open 2,SOLENT 2,15,5
Spring Startup 2024,2024-04-21,Brixton,Brighton Ultimate,11,4
Spring Startup 2024,2024-04-21,Brixton,DED,11,7
Spring Startup 2024,2024-04-21,Brizzle,Brighton Ultimate,13,5
Spring Startup 2024,2024-04-21,Brizzle,Brixton,9,8
Spring Startup 2024,2024-04-21,Brizzle,Zimmer,11,10
Spring Startup 2024,2024-04-21,Cambridge Ultimate,Devon,12,7
Spring Startup 2024,2024-04-21,DED,Brighton Ultimate,9,5
Spring Startup 2024,2024-04-21,DED,Brizzle,13,8
Spring Startup 2024,2024-04-21,DED,Zimmer,13,8
Spring Startup 2024,2024-04-21,Fire of London,Cambridge Ultimate,15,8
Spring Startup 2024,2024-04-21,Fire of London,Manchester Ultimate,9,8
Spring Startup 2024,2024-04-21,Ka-Pow!,SOLENT 1,15,12
Spring Startup 2024,2024-04-21,LLLeeds 1,Bristol Open 2,15,9
Spring Startup 2024,2024-04-21,LLLeeds 1,Fire of London,12,8
Spring Startup 2024,2024-04-21,Lemmings 1,Bristol Open,15,10
Spring Startup 2024,2024-04-21,Lemmings 1,Ka-Pow!,15,10
Spring Startup 2024,2024-04-21,Manchester Ultimate,Devon,12,10
Spring Startup 2024,2024-04-21,Reading 1,Cambridge Ultimate,14,12
Spring Startup 2024,2024-04-21,Reading 1,LLLeeds 1,15,10
Spring Startup 2024,2024-04-21,Reading 1,SOLENT 2,15,7
Spring Startup 2024,2024-04-21,SOLENT 1,Bristol Open,15,14
Spring Startup 2024,2024-04-21,SOLENT 2,Devon,11,9
Spring Startup 2024,2024-04-21,Zimmer,Brighton Ultimate,13,3
Spring Startup 2024,2024-04-21,Zimmer,Brixton,11,6
Windfarm 2024,2024-05-25,Alba,Lemmings 1,13,9
Windfarm 2024,2024-05-25,Brighton Ultimate,Flyght Open,10,8
Windfarm 2024,2024-05-25,Brighton Ultimate,South Wales Storm,13,0
Windfarm 2024,2024-05-25,Bristol Open,Alba,14,13
