Team,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Iceni,2,11,10,1,0.9090909090909091,0.4865326295807579,136,89,4.2727272727272725,1.0,21,1
Lemmings,1,5,4,1,0.8,0.6117647058823529,60,47,2.6,1.0,16,1
GB Masters Women,1,5,4,1,0.8,0.5688235294117647,63,51,2.4,1.0,14,1
GB U20,2,10,8,2,0.8,0.37334267040149394,111,53,5.8,1.0,20,1
Newcastle Brown,1,6,4,2,0.6666666666666666,0.3886243386243386,44,34,1.6666666666666667,1.0,13,1
Mooncup,1,6,4,2,0.6666666666666666,0.5872326203208557,66,47,3.1666666666666665,1.0,16,1
SMOG Women,3,17,11,6,0.6470588235294118,0.5349113977141658,197,163,2.0,1.0,21,1
LMU,2,11,7,4,0.6363636363636364,0.5060391925365187,124,90,3.090909090909091,1.0,21,1
Bristol Women,3,16,10,6,0.625,0.5690953654188948,197,157,2.5,1.0,19,1
Itheni,1,5,3,2,0.6,0.656764705882353,46,45,0.2,1.0,16,1
Brixton,2,9,5,4,0.5555555555555556,0.35157173980703393,70,64,0.6666666666666666,1.0,17,1
Seagulls,1,6,3,3,0.5,0.4912358882947118,63,61,0.3333333333333333,1.0,17,1
Masterclass,1,6,3,3,0.5,0.4711601307189543,66,53,2.1666666666666665,1.0,18,1
Kestrels,2,10,5,5,0.5,0.409813258636788,87,84,0.3,1.0,20,1
Horizon,3,17,7,10,0.4117647058823529,0.46610407086185635,176,171,0.29411764705882354,1.0,21,1
SYC,3,17,7,10,0.4117647058823529,0.5201103971000165,167,183,-0.9411764705882353,1.0,21,1
Sheffield Steal,1,6,2,4,0.3333333333333333,0.3239184562713974,39,57,-3.0,1.0,17,1
Spice,3,17,5,12,0.29411764705882354,0.5387640617744424,159,199,-2.3529411764705883,1.0,21,1
Gravity,1,6,1,5,0.16666666666666666,0.6215463458110517,53,61,-1.3333333333333333,1.0,19,1
FRed,1,6,1,5,0.16666666666666666,0.5167755991285403,25,72,-7.833333333333333,1.0,18,1
Chameleons,3,14,2,12,0.14285714285714285,0.5267294796706562,58,162,-7.428571428571429,1.0,21,1
Eclipse,1,6,0,6,0.0,0.49973544973544975,12,76,-10.666666666666666,1.0,13,1
